Freq[Hz]     dBSPL  Phase[Deg]
5.00000     -5.608    17.575
5.07273     -4.927    25.918
5.14651     -4.247    34.381
5.22137     -3.567    42.969
5.29732     -2.887    51.681
5.37437     -2.207    60.520
5.45254     -1.527    69.488
5.53185     -0.847    78.587
5.61231     -0.166    87.818
5.69394      0.514    97.184
5.77676      1.194   106.686
5.86079      1.874   116.326
5.94604      2.554   126.107
6.03252      3.234   136.031
6.12027      3.914   146.099
6.20929      4.594   156.314
6.29961      5.274   166.678
6.39124      5.954   177.193
6.48420      6.634  -172.139
6.57851      7.314  -161.315
6.67420      7.994  -150.334
6.77128      8.674  -139.192
6.86977      9.354  -127.888
6.96969     10.034  -116.420
7.07107     10.714  -104.784
7.17392     11.393   -92.978
7.27827     12.073   -81.000
7.38413     12.753   -68.848
7.49154     13.433   -56.518
7.60050     14.113   -44.009
7.71105     14.792   -31.317
7.82321     15.472   -18.440
7.93701     16.152    -5.375
8.05245     16.832     7.880
8.16958     17.511    21.329
8.28841     18.191    34.974
8.40896     18.871    48.818
8.53128     19.550    62.865
8.65537     20.230    77.116
8.78126     20.909    91.575
8.90899     21.589   106.245
9.03857     22.268   121.129
9.17004     22.948   136.231
9.30342     23.627   151.553
9.43874     24.306   167.098
9.57603     24.986  -177.129
9.71532     25.665  -161.126
9.85663     26.344  -144.890
10.0000     27.024  -128.416
10.1455     27.434   111.907
10.2930     27.849   111.313
10.4427     28.271   178.800
10.5946     28.759  -163.468
10.7487     29.319  -126.051
10.9051     29.955  -109.062
11.0637     30.644   -84.797
11.2246     31.373   -68.850
11.3879     32.135   -52.071
11.5535     32.922   -37.095
11.7216     33.725   -25.240
11.8921     34.537   -11.170
12.0650     35.353    -2.785
12.2405     36.169    10.511
12.4186     36.983    16.319
12.5992     37.790    28.953
12.7825     38.589    32.788
12.9684     39.382    44.892
13.1570     40.167    47.172
13.3484     40.944    58.434
13.5426     41.714    60.657
13.7395     42.468    69.835
13.9394     43.218    72.679
14.1421     43.961    80.089
14.3478     44.697    83.404
14.5565     45.426    89.325
14.7683     46.146    93.003
14.9831     46.858    97.670
15.2010     47.565   101.669
15.4221     48.267   105.273
15.6464     48.963   109.514
15.8740     49.653   112.169
16.1049     50.338   116.611
16.3392     51.019   118.457
16.5768     51.695   123.079
16.8179     52.369   124.215
17.0626     53.041   128.944
17.3107     53.704   129.406
17.5625     54.366   134.148
17.8180     55.027   134.519
18.0771     55.687   138.517
18.3401     56.343   139.205
18.6068     56.998   142.449
18.8775     57.650   143.420
19.1521     58.300   145.970
19.4306     58.949   147.203
19.7133     59.599   149.127
20.0000     60.248   150.537
20.2909     60.897   151.855
20.5860     61.547   153.453
20.8855     62.197   154.209
21.1893     62.847   155.916
21.4975     63.495   156.114
21.8102     64.144   157.921
22.1274     64.795   157.635
22.4492     65.447   159.482
22.7758     66.098   158.669
23.1071     66.751   160.473
23.4432     67.400   159.392
23.7841     68.050   160.698
24.1301     68.697   159.668
24.4811     69.342   160.340
24.8372     69.984   159.350
25.1984     70.622   159.391
25.5649     71.254   158.352
25.9368     71.873   157.765
26.3141     72.480   156.703
26.6968     73.077   155.498
27.0851     73.658   154.240
27.4791     74.217   152.437
27.8788     74.747   151.258
28.2843     75.252   149.030
28.6957     75.724   147.787
29.1131     76.170   145.024
29.5365     76.569   143.859
29.9661     76.945   141.057
30.4020     77.321   140.177
30.8442     77.661   137.401
31.2929     78.002   136.526
31.7480     78.327   133.836
32.2098     78.611   132.535
32.6783     78.905   130.116
33.1536     79.195   128.556
33.6359     79.452   126.319
34.1251     79.677   124.730
34.6215     79.894   122.918
35.1250     80.094   121.154
35.6359     80.262   119.509
36.1543     80.429   117.810
36.6802     80.602   116.638
37.2137     80.765   114.863
37.7550     80.922   114.017
38.3041     81.087   112.200
38.8613     81.248   111.386
39.4265     81.404   109.414
40.0000     81.564   109.048
40.5818     81.716   107.068
41.1721     81.867   106.632
41.7710     82.022   104.964
42.3785     82.171   104.411
42.9949     82.317   102.933
43.6203     82.469   102.224
44.2548     82.623   100.926
44.8985     82.777   100.069
45.5515     82.932    98.983
46.2141     83.089    98.025
46.8863     83.247    97.090
47.5683     83.405    95.971
48.2602     83.567    95.206
48.9621     83.734    93.970
49.6743     83.903    93.299
50.3968     84.076    91.849
51.1299     84.249    91.177
51.8736     84.407    89.498
52.6281     84.562    89.018
53.3936     84.728    87.386
54.1702     84.900    86.863
54.9581     85.074    85.244
55.7575     85.248    84.503
56.5685     85.425    82.945
57.3914     85.602    81.947
58.2261     85.774    80.401
59.0730     85.937    79.172
59.9323     86.092    77.690
60.8040     86.251    76.331
61.6884     86.411    74.918
62.5857     86.561    73.338
63.4960     86.705    71.957
64.4196     86.843    70.241
65.3566     86.979    68.944
66.3073     87.111    67.032
67.2717     87.232    65.749
68.2502     87.346    63.695
69.2429     87.452    62.486
70.2501     87.548    60.317
71.2719     87.637    59.083
72.3086     87.718    56.988
73.3603     87.790    55.652
74.4274     87.857    53.708
75.5099     87.919    52.307
76.6083     87.970    50.456
77.7226     87.998    48.918
78.8531     88.011    47.350
80.0000     88.049    46.075
81.1636     88.110    44.665
82.3442     88.161    43.078
83.5419     88.204    41.658
84.7570     88.237    40.029
85.9899     88.261    38.768
87.2406     88.282    37.173
88.5096     88.321    36.134
89.7970     88.371    34.401
91.1031     88.408    33.300
92.4282     88.438    31.510
93.7726     88.469    30.495
95.1366     88.502    28.768
96.5204     88.536    27.619
97.9243     88.566    25.897
99.3486     88.580    24.660
100.794     88.581    23.122
102.260     88.574    22.022
103.747     88.600    21.037
105.256     88.708    20.057
106.787     88.829    18.497
108.340     88.893    16.648
109.916     88.931    14.963
111.515     88.954    13.080
113.137     88.958    11.495
114.783     88.948     9.716
116.452     88.940     8.443
118.146     88.943     6.754
119.865     88.952     5.543
121.608     88.960     3.748
123.377     88.969     2.554
125.171     88.965     0.773
126.992     88.952    -0.306
128.839     88.998    -1.679
130.713     89.082    -3.171
132.615     89.109    -5.300
134.543     89.088    -7.038
136.500     89.064    -8.776
138.486     89.039   -10.362
140.500     89.010   -11.944
142.544     88.985   -13.416
144.617     88.984   -14.757
146.721     89.001   -16.406
148.855     88.992   -18.026
151.020     88.958   -19.730
153.217     88.951   -20.952
155.445     88.979   -22.697
157.706     88.988   -24.298
160.000     88.968   -26.283
162.327     88.945   -27.722
164.688     88.926   -29.619
167.084     88.897   -31.154
169.514     88.858   -32.932
171.980     88.829   -34.340
174.481     88.810   -35.960
177.019     88.805   -37.389
179.594     88.807   -39.041
182.206     88.807   -40.663
184.856     88.807   -42.286
187.545     88.832   -43.948
190.273     88.853   -45.747
193.041     88.857   -47.620
195.849     88.888   -49.299
198.697     88.944   -51.363
201.587     88.992   -53.550
204.520     88.999   -56.215
207.494     88.963   -58.578
210.512     88.910   -61.169
213.574     88.832   -63.383
216.681     88.745   -65.739
219.833     88.666   -67.765
223.030     88.574   -70.010
226.274     88.495   -71.854
229.565     88.438   -73.978
232.905     88.372   -76.010
236.292     88.309   -78.095
239.729     88.265   -80.146
243.216     88.230   -82.423
246.754     88.168   -84.845
250.343     88.090   -87.152
253.984     88.019   -89.568
257.678     87.925   -91.964
261.426     87.829   -94.291
265.229     87.755   -96.611
269.087     87.655   -99.240
273.001     87.531  -101.557
276.972     87.421  -103.960
281.000     87.325  -106.203
285.088     87.229  -108.787
289.234     87.121  -111.238
293.441     87.005  -113.846
297.709     86.889  -116.347
302.040     86.766  -118.997
306.433     86.644  -121.602
310.890     86.508  -124.375
315.412     86.357  -127.072
320.000     86.205  -129.784
324.655     86.048  -132.551
329.377     85.880  -135.323
334.168     85.703  -138.151
339.028     85.516  -140.939
343.959     85.323  -143.782
348.962     85.122  -146.587
354.038     84.909  -149.487
359.188     84.686  -152.281
364.412     84.454  -155.161
369.713     84.216  -157.910
375.090     83.973  -160.765
380.546     83.725  -163.516
386.081     83.472  -166.356
391.697     83.216  -169.152
397.394     82.950  -172.043
403.175     82.672  -174.904
409.039     82.382  -177.786
414.989     82.081   179.375
421.025     81.772   176.528
427.149     81.450   173.702
433.362     81.116   170.950
439.665     80.781   168.249
446.060     80.444   165.581
452.548     80.107   162.920
459.131     79.767   160.229
465.809     79.415   157.543
