Freq[Hz]     dBSPL  Phase[Deg]
5.00000    -20.796    -2.551
5.07273    -20.410     3.609
5.14651    -20.025     9.860
5.22137    -19.639    16.202
5.29732    -19.253    22.636
5.37437    -18.867    29.165
5.45254    -18.481    35.789
5.53185    -18.095    42.509
5.61231    -17.708    49.328
5.69394    -17.322    56.247
5.77676    -16.936    63.267
5.86079    -16.550    70.389
5.94604    -16.164    77.616
6.03252    -15.778    84.948
6.12027    -15.392    92.388
6.20929    -15.005    99.936
6.29961    -14.619   107.594
6.39124    -14.233   115.365
6.48420    -13.847   123.249
6.57851    -13.461   131.248
6.67420    -13.075   139.365
6.77128    -12.689   147.600
6.86977    -12.303   155.955
6.96969    -11.917   164.432
7.07107    -11.531   173.034
7.17392    -11.145  -178.239
7.27827    -10.760  -169.384
7.38413    -10.374  -160.400
7.49154     -9.989  -151.285
7.60050     -9.603  -142.036
7.71105     -9.218  -132.653
7.82321     -8.833  -123.132
7.93701     -8.448  -113.472
8.05245     -8.063  -103.671
8.16958     -7.679   -93.726
8.28841     -7.295   -83.637
8.40896     -6.911   -73.400
8.53128     -6.527   -63.013
8.65537     -6.143   -52.475
8.78126     -5.760   -41.783
8.90899     -5.377   -30.935
9.03857     -4.994   -19.929
9.17004     -4.612    -8.762
9.30342     -4.230     2.568
9.43874     -3.848    14.063
9.57603     -3.467    25.726
9.71532     -3.086    37.559
9.85663     -2.706    49.564
10.0000     -2.326    61.745
10.1455     -1.947   -87.655
10.2930     -1.568   -93.430
10.4427     -1.189   -35.004
10.5946     -0.812   -22.361
10.7487     -0.434     9.285
10.9051     -0.058    21.760
11.0637      0.318    41.901
11.2246      0.693    54.263
11.3879      1.067    67.994
11.5535      1.441    80.263
11.7216      1.814    89.900
11.8921      2.186   102.095
12.0650      2.556   108.896
12.2405      2.926   121.027
12.4186      3.296   125.742
12.5992      3.664   137.808
12.7825      4.031   140.919
12.9684      4.397   152.934
13.1570      4.761   154.779
13.3484      5.125   166.331
13.5426      5.487   168.416
13.7395      5.848   178.115
13.9394      6.207  -178.898
14.1421      6.565  -170.830
14.3478      6.922  -167.107
14.5565      7.277  -160.416
14.7683      7.631  -156.081
14.9831      7.982  -150.566
15.2010      8.332  -145.716
15.4221      8.681  -141.213
15.6464      9.027  -135.925
15.8740      9.372  -132.310
16.1049      9.715  -126.650
16.3392     10.055  -123.814
16.5768     10.394  -117.828
16.8179     10.730  -115.685
17.0626     11.065  -109.424
17.3107     11.396  -107.902
17.5625     11.726  -101.542
17.8180     12.053  -100.043
18.0771     12.377   -94.376
18.3401     12.699   -92.400
18.6068     13.018   -87.482
18.8775     13.335   -85.089
19.1521     13.648   -80.851
19.4306     13.959   -78.077
19.7133     14.267   -74.464
20.0000     14.572   -71.368
20.2909     14.872   -68.332
20.5860     15.170   -64.931
20.8855     15.464   -62.423
21.1893     15.756   -58.757
21.4975     16.044   -56.751
21.8102     16.327   -52.860
22.1274     16.606   -51.312
22.4492     16.881   -47.207
22.7758     17.153   -46.087
23.1071     17.421   -41.856
23.4432     17.683   -40.891
23.7841     17.940   -37.061
24.1301     18.193   -35.806
24.4811     18.440   -32.479
24.8372     18.684   -30.975
25.1984     18.921   -28.145
25.5649     19.151   -26.417
25.9368     19.375   -24.032
26.3141     19.594   -22.107
26.6968     19.806   -20.172
27.0851     20.010   -18.083
27.4791     20.205   -16.565
27.8788     20.393   -14.317
28.2843     20.573   -13.200
28.6957     20.744   -10.838
29.1131     20.903   -10.130
29.5365     21.051    -7.663
29.9661     21.188    -7.327
30.4020     21.314    -4.778
30.8442     21.428    -4.692
31.2929     21.525    -2.496
31.7480     21.604    -2.288
32.2098     21.665    -0.525
32.6783     21.708    -0.206
33.1536     21.730     1.111
33.6359     21.727     1.485
34.1251     21.695     2.366
34.6215     21.633     2.807
35.1250     21.538     3.260
35.6359     21.403     3.717
36.1543     21.223     3.745
36.6802     20.991     4.222
37.2137     20.700     3.852
37.7550     20.343     4.333
38.3041     19.903     3.544
38.8613     19.362     4.006
39.4265     18.702     2.844
40.0000     17.890     3.312
40.5818     16.888     1.887
41.1721     15.623     2.077
41.7710     13.980     0.672
42.3785     11.751     0.509
42.9949      8.454    -0.802
43.6203      2.537    -1.264
44.2548    -25.865   177.513
44.8985      3.628   176.756
45.5515      9.704   175.671
46.2141     13.366   174.714
46.8863     16.014   173.774
47.5683     18.091   172.615
48.2602     19.801   171.867
48.9621     21.254   170.593
49.6743     22.517   170.072
50.3968     23.634   168.695
51.1299     25.934   165.639
51.8736     26.202   165.451
52.6281     26.442   166.527
53.3936     26.694   166.298
54.1702     26.946   167.381
54.9581     27.193   167.153
55.7575     27.434   167.974
56.5685     27.673   167.868
57.3914     27.909   168.519
58.2261     28.146   168.525
59.0730     28.369   168.869
59.9323     28.580   168.945
60.8040     28.779   169.144
61.6884     28.968   169.383
62.5857     29.147   169.508
63.4960     29.318   169.985
64.4196     29.494   170.123
65.3566     29.672   170.800
66.3073     29.857   170.839
67.2717     30.048   171.575
68.2502     30.225   171.347
69.2429     30.396   172.168
70.2501     30.563   171.847
71.2719     30.725   172.683
72.3086     30.892   172.417
73.3603     31.040   172.983
74.4274     31.178   172.832
75.5099     31.308   173.307
76.6083     31.431   173.318
77.7226     31.555   173.669
78.8531     31.663   173.702
80.0000     31.755   173.899
81.1636     31.835   174.096
82.3442     31.904   174.240
83.5419     31.968   174.595
84.7570     32.022   174.587
85.9899     32.049   174.985
87.2406     32.060   174.964
88.5096     32.061   175.570
89.7970     32.048   175.435
91.1031     31.998   176.087
92.4282     31.924   175.988
93.7726     31.823   176.851
95.1366     31.701   177.002
96.5204     31.556   177.860
97.9243     31.358   178.160
99.3486     31.114   179.165
100.794     30.823   179.946
102.260     30.482  -178.667
103.747     30.089  -177.287
105.256     29.614  -175.467
106.787     29.046  -173.138
108.340     28.381  -170.073
109.916     27.620  -165.810
111.515     26.770  -160.283
113.137     25.858  -152.428
114.783     24.974  -142.002
116.452     24.378  -127.541
118.146     24.428  -110.993
119.865     25.281   -94.055
121.608     26.733   -80.504
123.377     28.461   -69.707
125.171     30.227   -62.468
126.992     31.949   -56.783
128.839     33.570   -53.261
130.713     35.074   -50.382
132.615     36.477   -48.557
134.543     37.797   -46.956
136.500     39.060   -45.932
138.486     40.270   -45.231
140.500     41.411   -44.917
142.544     42.493   -44.792
144.617     43.532   -44.686
146.721     44.544   -44.820
148.855     45.541   -44.937
151.020     46.502   -45.591
153.217     47.417   -45.995
155.445     48.307   -46.836
157.706     49.169   -47.271
160.000     50.026   -48.213
162.327     50.866   -48.845
164.688     51.670   -50.048
167.084     52.439   -50.747
169.514     53.211   -51.651
171.980     53.989   -52.278
174.481     54.800   -53.076
177.019     55.648   -54.209
179.594     56.430   -55.806
182.206     57.190   -57.253
184.856     57.945   -58.887
187.545     58.670   -60.691
190.273     59.377   -62.436
193.041     60.074   -64.483
195.849     60.715   -66.645
198.697     61.261   -68.613
201.587     61.871   -69.820
204.520     62.491   -71.768
207.494     63.078   -73.128
210.512     63.694   -74.884
213.574     64.304   -76.275
216.681     64.926   -78.118
219.833     65.550   -79.675
223.030     66.172   -81.630
226.274     66.806   -83.432
229.565     67.421   -85.694
232.905     68.014   -87.799
236.292     68.586   -90.045
239.729     69.153   -92.109
243.216     69.743   -94.221
246.754     70.347   -96.548
250.343     70.935   -99.134
253.984     71.488  -101.990
257.678     71.987  -104.767
261.426     72.443  -107.445
265.229     72.917  -109.644
269.087     73.425  -112.089
273.001     73.947  -114.501
276.972     74.450  -117.398
281.000     74.925  -119.979
285.088     75.408  -122.891
289.234     75.866  -125.727
293.441     76.298  -128.750
297.709     76.702  -131.526
302.040     77.114  -134.261
306.433     77.549  -136.997
310.890     77.957  -140.007
315.412     78.342  -142.865
