Freq[Hz]     dBSPL  Phase[Deg]
5.00000     -0.494    -2.034
5.07273     -0.494    -2.067
5.14651     -0.495    -2.100
5.22137     -0.496    -2.134
5.29732     -0.496    -2.168
5.37437     -0.497    -2.202
5.45254     -0.498    -2.237
5.53185     -0.498    -2.271
5.61231     -0.499    -2.307
5.69394     -0.500    -2.342
5.77676     -0.501    -2.378
5.86079     -0.501    -2.414
5.94604     -0.502    -2.450
6.03252     -0.503    -2.487
6.12027     -0.504    -2.523
6.20929     -0.504    -2.560
6.29961     -0.505    -2.598
6.39124     -0.506    -2.635
6.48420     -0.507    -2.673
6.57851     -0.508    -2.711
6.67420     -0.509    -2.749
6.77128     -0.509    -2.787
6.86977     -0.510    -2.826
6.96969     -0.511    -2.865
7.07107     -0.512    -2.904
7.17392     -0.513    -2.943
7.27827     -0.514    -2.982
7.38413     -0.515    -3.021
7.49154     -0.516    -3.061
7.60050     -0.517    -3.100
7.71105     -0.518    -3.140
7.82321     -0.519    -3.179
7.93701     -0.520    -3.219
8.05245     -0.522    -3.259
8.16958     -0.523    -3.299
8.28841     -0.524    -3.338
8.40896     -0.525    -3.378
8.53128     -0.526    -3.418
8.65537     -0.528    -3.457
8.78126     -0.529    -3.497
8.90899     -0.530    -3.536
9.03857     -0.531    -3.575
9.17004     -0.533    -3.614
9.30342     -0.534    -3.652
9.43874     -0.536    -3.691
9.57603     -0.537    -3.729
9.71532     -0.539    -3.767
9.85663     -0.540    -3.804
10.0000     -0.542    -3.841
10.1455     -0.543    -3.878
10.2930     -0.545    -3.915
10.4427     -0.547    -3.952
10.5946     -0.548    -3.988
10.7487     -0.550    -4.023
10.9051     -0.551    -4.056
11.0637     -0.553    -4.089
11.2246     -0.555    -4.123
11.3879     -0.557    -4.157
11.5535     -0.558    -4.191
11.7216     -0.559    -4.224
11.8921     -0.560    -4.253
12.0650     -0.561    -4.281
12.2405     -0.562    -4.311
12.4186     -0.564    -4.339
12.5992     -0.566    -4.361
12.7825     -0.566    -4.381
12.9684     -0.565    -4.415
13.1570     -0.566    -4.453
13.3484     -0.567    -4.472
13.5426     -0.567    -4.484
13.7395     -0.567    -4.504
13.9394     -0.567    -4.528
14.1421     -0.566    -4.545
14.3478     -0.565    -4.558
14.5565     -0.563    -4.570
14.7683     -0.561    -4.582
14.9831     -0.559    -4.596
15.2010     -0.556    -4.604
15.4221     -0.552    -4.604
15.6464     -0.549    -4.607
15.8740     -0.545    -4.608
16.1049     -0.540    -4.610
16.3392     -0.533    -4.609
16.5768     -0.527    -4.596
16.8179     -0.519    -4.585
17.0626     -0.511    -4.578
17.3107     -0.501    -4.567
17.5625     -0.491    -4.548
17.8180     -0.480    -4.528
18.0771     -0.467    -4.512
18.3401     -0.452    -4.486
18.6068     -0.434    -4.457
18.8775     -0.415    -4.433
19.1521     -0.396    -4.411
19.4306     -0.374    -4.380
19.7133     -0.350    -4.342
20.0000     -0.322    -4.321
20.2909     -0.291    -4.301
20.5860     -0.258    -4.274
20.8855     -0.221    -4.252
21.1893     -0.181    -4.241
21.4975     -0.138    -4.243
21.8102     -0.089    -4.251
22.1274     -0.037    -4.278
22.4492      0.019    -4.334
22.7758      0.078    -4.408
23.1071      0.144    -4.514
23.4432      0.213    -4.644
23.7841      0.284    -4.818
24.1301      0.359    -5.047
24.4811      0.437    -5.318
24.8372      0.518    -5.636
25.1984      0.602    -6.020
25.5649      0.689    -6.496
25.9368      0.770    -7.042
26.3141      0.848    -7.641
26.6968      0.922    -8.359
27.0851      0.990    -9.216
27.4791      1.048   -10.099
27.8788      1.088   -10.963
28.2843      1.112   -11.881
28.6957      1.115   -12.882
29.1131      1.103   -13.952
29.5365      1.063   -14.918
29.9661      1.011   -15.729
30.4020      0.971   -16.509
30.8442      0.909   -17.108
31.2929      0.863   -17.611
31.7480      0.820   -18.281
32.2098      0.747   -18.947
32.6783      0.697   -19.530
33.1536      0.659   -20.178
33.6359      0.599   -20.764
34.1251      0.524   -21.195
34.6215      0.455   -21.567
35.1250      0.380   -22.006
35.6359      0.283   -22.424
36.1543      0.196   -22.622
36.6802      0.127   -22.759
37.2137      0.060   -22.888
37.7550     -0.004   -22.940
38.3041     -0.053   -23.005
38.8613     -0.100   -23.223
39.4265     -0.143   -23.318
40.0000     -0.173   -23.292
40.5818     -0.206   -23.382
41.1721     -0.235   -23.416
41.7710     -0.255   -23.412
42.3785     -0.276   -23.424
42.9949     -0.295   -23.455
43.6203     -0.304   -23.504
44.2548     -0.307   -23.578
44.8985     -0.309   -23.661
45.5515     -0.306   -23.721
46.2141     -0.299   -23.786
46.8863     -0.287   -23.882
47.5683     -0.274   -23.998
48.2602     -0.255   -24.103
48.9621     -0.229   -24.228
49.6743     -0.199   -24.400
50.3968     -0.164   -24.633
51.1299     -0.127   -24.963
51.8736     -0.103   -25.325
52.6281     -0.083   -25.603
53.3936     -0.049   -25.852
54.1702     -0.007   -26.168
54.9581      0.038   -26.539
55.7575      0.083   -26.946
56.5685      0.132   -27.406
57.3914      0.183   -27.943
58.2261      0.230   -28.534
59.0730      0.269   -29.184
59.9323      0.301   -29.846
60.8040      0.338   -30.508
61.6884      0.376   -31.227
62.5857      0.407   -31.996
63.4960      0.432   -32.802
64.4196      0.453   -33.605
65.3566      0.473   -34.440
66.3073      0.489   -35.332
67.2717      0.497   -36.257
68.2502      0.498   -37.197
69.2429      0.492   -38.149
70.2501      0.478   -39.129
71.2719      0.458   -40.119
72.3086      0.430   -41.105
73.3603      0.396   -42.084
74.4274      0.357   -43.035
75.5099      0.315   -43.973
76.6083      0.262   -44.938
77.7226      0.187   -45.910
78.8531      0.100   -46.695
80.0000      0.039   -47.310
81.1636      0.000   -48.040
82.3442     -0.046   -48.875
83.5419     -0.100   -49.708
84.7570     -0.162   -50.498
85.9899     -0.233   -51.263
87.2406     -0.305   -51.941
88.5096     -0.359   -52.573
89.7970     -0.400   -53.309
91.1031     -0.454   -54.079
92.4282     -0.513   -54.806
93.7726     -0.571   -55.526
95.1366     -0.626   -56.250
96.5204     -0.679   -57.014
97.9243     -0.736   -57.823
99.3486     -0.808   -58.592
100.794     -0.891   -59.307
102.260     -0.983   -59.860
103.747     -1.041   -60.105
105.256     -1.016   -60.460
106.787     -0.978   -61.361
108.340     -0.996   -62.514
109.916     -1.040   -63.615
111.515     -1.098   -64.733
113.137     -1.176   -65.804
114.783     -1.265   -66.750
116.452     -1.354   -67.578
118.146     -1.431   -68.373
119.865     -1.501   -69.200
121.608     -1.572   -70.037
123.377     -1.643   -70.876
125.171     -1.725   -71.728
126.992     -1.816   -72.382
128.839     -1.848   -72.899
130.713     -1.842   -73.894
132.615     -1.893   -75.225
134.543     -1.991   -76.395
136.500     -2.091   -77.397
138.486     -2.193   -78.349
140.500     -2.298   -79.252
142.544     -2.400   -80.025
144.617     -2.476   -80.734
146.721     -2.534   -81.620
148.855     -2.618   -82.660
151.020     -2.726   -83.542
153.217     -2.807   -84.226
155.445     -2.852   -85.091
157.706     -2.915   -86.192
160.000     -3.007   -87.246
162.327     -3.101   -88.211
164.688     -3.191   -89.183
167.084     -3.290   -90.189
169.514     -3.398   -91.091
171.980     -3.497   -91.906
174.481     -3.583   -92.693
177.019     -3.655   -93.474
179.594     -3.719   -94.339
182.206     -3.785   -95.261
184.856     -3.848   -96.140
187.545     -3.887   -97.056
190.273     -3.929   -98.155
193.041     -3.987   -99.236
195.849     -4.018  -100.251
198.697     -4.022  -101.486
201.587     -4.034  -103.050
204.520     -4.087  -104.851
207.494     -4.181  -106.627
210.512     -4.292  -108.322
213.574     -4.427  -109.977
216.681     -4.572  -111.448
219.833     -4.708  -112.889
223.030     -4.857  -114.292
226.274     -4.994  -115.518
229.565     -5.107  -116.848
232.905     -5.231  -118.231
236.292     -5.353  -119.563
239.729     -5.455  -120.934
243.216     -5.550  -122.498
246.754     -5.671  -124.214
250.343     -5.811  -125.840
253.984     -5.944  -127.521
257.678     -6.103  -129.264
261.426     -6.265  -130.828
265.229     -6.405  -132.515
269.087     -6.575  -134.351
273.001     -6.769  -136.043
276.972     -6.952  -137.623
281.000     -7.123  -139.248
285.088     -7.295  -140.983
289.234     -7.482  -142.774
293.441     -7.678  -144.542
297.709     -7.877  -146.331
302.040     -8.084  -148.161
306.433     -8.299  -150.016
310.890     -8.531  -151.909
315.412     -8.778  -153.732
320.000     -9.026  -155.509
324.655     -9.279  -157.311
329.377     -9.541  -159.095
334.168     -9.811  -160.874
339.028    -10.090  -162.627
343.959    -10.374  -164.343
348.962    -10.663  -166.061
354.038    -10.961  -167.762
359.188    -11.268  -169.425
364.412    -11.580  -171.041
369.713    -11.895  -172.615
375.090    -12.212  -174.157
380.546    -12.531  -175.675
386.081    -12.850  -177.174
391.697    -13.169  -178.681
397.394    -13.494   179.788
403.175    -13.828   178.262
409.039    -14.170   176.759
414.989    -14.517   175.292
421.025    -14.869   173.834
427.149    -15.230   172.398
433.362    -15.599   171.036
439.665    -15.966   169.741
446.060    -16.331   168.469
452.548    -16.693   167.221
459.131    -17.056   165.926
465.809    -17.428   164.652
472.584    -17.798   163.390
479.458    -18.181   162.099
486.432    -18.569   160.920
493.507    -18.944   159.713
500.686    -19.336   158.436
507.968    -19.738   157.232
515.357    -20.146   156.047
522.853    -20.567   154.950
530.458    -20.975   153.948
538.174    -21.380   152.892
546.002    -21.794   151.834
553.943    -22.212   150.829
562.001    -22.626   149.840
570.175    -23.039   148.797
578.469    -23.466   147.707
586.883    -23.909   146.668
595.419    -24.357   145.651
604.080    -24.824   144.660
612.866    -25.299   143.851
621.780    -25.764   143.094
630.824    -26.234   142.330
640.000    -26.712   141.665
649.309    -27.185   141.068
658.753    -27.655   140.516
668.335    -28.122   139.968
678.056    -28.592   139.448
687.919    -29.063   138.967
697.925    -29.531   138.504
708.077    -30.003   138.042
718.376    -30.479   137.624
728.825    -30.952   137.251
739.426    -31.424   136.857
750.181    -31.905   136.467
761.093    -32.392   136.147
772.163    -32.874   135.893
783.394    -33.349   135.589
794.789    -33.836   135.265
806.349    -34.331   134.970
818.078    -34.835   134.712
829.977    -35.344   134.524
842.050    -35.850   134.385
854.298    -36.360   134.241
866.724    -36.879   134.129
879.330    -37.401   134.076
892.120    -37.930   134.054
905.097    -38.461   134.116
918.262    -38.989   134.208
931.618    -39.523   134.289
945.169    -40.066   134.439
958.917    -40.610   134.647
972.864    -41.154   134.888
987.015    -41.703   135.138
1001.37    -42.260   135.426
1015.94    -42.820   135.772
1030.71    -43.382   136.131
1045.71    -43.952   136.501
1060.92    -44.528   136.882
1076.35    -45.113   137.229
1092.00    -45.724   137.506
1107.89    -46.378   137.823
1124.00    -47.072   138.327
1140.35    -47.797   139.129
1156.94    -48.528   140.266
1173.77    -49.254   141.621
1190.84    -49.987   143.135
1208.16    -50.729   144.887
1225.73    -51.473   146.875
1243.56    -52.221   149.103
1261.65    -52.971   151.596
1280.00    -53.725   154.365
1298.62    -54.480   157.498
1317.51    -55.223   161.020
1336.67    -55.949   164.935
1356.11    -56.649   169.284
1375.84    -57.308   174.072
1395.85    -57.915   179.285
1416.15    -58.453  -175.085
1436.75    -58.903  -169.127
1457.65    -59.253  -162.956
1478.85    -59.496  -156.716
1500.36    -59.633  -150.557
1522.19    -59.670  -144.615
1544.33    -59.618  -139.023
1566.79    -59.498  -133.866
1589.58    -59.326  -129.176
1612.70    -59.119  -124.955
1636.16    -58.895  -121.191
1659.95    -58.662  -117.825
1684.10    -58.429  -114.805
1708.60    -58.198  -112.086
1733.45    -57.971  -109.650
1758.66    -57.752  -107.464
1784.24    -57.544  -105.493
1810.19    -57.347  -103.710
1836.52    -57.159  -102.092
1863.24    -56.982  -100.631
1890.34    -56.817   -99.303
1917.83    -56.662   -98.093
1945.73    -56.517   -96.988
1974.03    -56.382   -95.983
2002.74    -56.257   -95.075
2031.87    -56.142   -94.248
2061.43    -56.038   -93.487
2091.41    -55.942   -92.785
2121.83    -55.855   -92.138
2152.69    -55.774   -91.535
2184.01    -55.699   -90.972
2215.77    -55.628   -90.459
2248.00    -55.559   -90.000
2280.70    -55.492   -89.604
2313.87    -55.425   -89.307
2347.53    -55.363   -89.154
2381.68    -55.319   -89.178
2416.32    -55.311   -89.296
2451.46    -55.336   -89.355
2487.12    -55.377   -89.323
2523.30    -55.434   -89.216
2560.00    -55.502   -88.988
2597.24    -55.576   -88.621
2635.01    -55.642   -88.055
2673.34    -55.670   -87.382
2712.23    -55.663   -86.862
2751.68    -55.653   -86.596
2791.70    -55.666   -86.470
2832.31    -55.697   -86.336
2873.50    -55.734   -86.174
2915.30    -55.776   -86.041
2957.70    -55.832   -85.892
3000.72    -55.892   -85.667
3044.37    -55.948   -85.389
3088.65    -55.997   -85.096
3133.58    -56.041   -84.820
3179.16    -56.082   -84.575
3225.40    -56.121   -84.363
3272.31    -56.159   -84.190
3319.91    -56.200   -84.057
3368.20    -56.244   -83.961
3417.19    -56.293   -83.890
3466.89    -56.346   -83.843
3517.32    -56.406   -83.831
3568.48    -56.481   -83.807
3620.39    -56.561   -83.692
3673.05    -56.632   -83.514
3726.47    -56.695   -83.358
3780.67    -56.756   -83.242
3835.67    -56.818   -83.153
3891.46    -56.882   -83.086
3948.06    -56.949   -83.034
4005.49    -57.017   -82.998
4063.75    -57.091   -82.978
4122.86    -57.170   -82.943
4182.82    -57.249   -82.880
4243.66    -57.326   -82.821
4305.39    -57.405   -82.770
4368.01    -57.485   -82.704
4431.55    -57.561   -82.637
4496.01    -57.636   -82.594
4561.40    -57.713   -82.573
4627.75    -57.791   -82.571
4695.06    -57.873   -82.582
4763.35    -57.959   -82.594
4832.64    -58.047   -82.598
4902.93    -58.138   -82.588
4974.24    -58.228   -82.565
5046.60    -58.317   -82.540
5120.00    -58.406   -82.523
5194.47    -58.496   -82.514
5270.03    -58.586   -82.511
5346.68    -58.679   -82.509
5424.45    -58.772   -82.505
5503.35    -58.867   -82.499
5583.40    -58.963   -82.489
5664.61    -59.059   -82.472
5747.01    -59.155   -82.448
5830.60    -59.250   -82.424
5915.41    -59.343   -82.409
6001.45    -59.438   -82.401
6088.74    -59.534   -82.391
6177.30    -59.629   -82.384
6267.15    -59.725   -82.382
6358.31    -59.821   -82.384
6450.80    -59.918   -82.389
6544.62    -60.016   -82.397
6639.82    -60.114   -82.405
6736.40    -60.213   -82.414
6834.38    -60.312   -82.424
6933.79    -60.411   -82.437
7034.64    -60.511   -82.451
7136.96    -60.612   -82.467
7240.77    -60.713   -82.485
7346.09    -60.814   -82.503
7452.94    -60.916   -82.521
7561.35    -61.019   -82.540
7671.33    -61.122   -82.559
7782.91    -61.225   -82.579
7896.12    -61.328   -82.599
8010.97    -61.432   -82.622
8127.49    -61.537   -82.646
8245.71    -61.642   -82.668
8365.65    -61.747   -82.689
8487.33    -61.852   -82.710
8610.78    -61.958   -82.731
8736.03    -62.063   -82.755
8863.09    -62.169   -82.780
8992.01    -62.275   -82.806
9122.80    -62.382   -82.833
9255.50    -62.488   -82.860
9390.12    -62.596   -82.889
9526.70    -62.703   -82.919
9665.27    -62.811   -82.952
9805.86    -62.919   -82.985
9948.49    -63.028   -83.017
10093.2    -63.138   -83.044
10240.0    -63.247   -83.072
10388.9    -63.356   -83.103
10540.1    -63.466   -83.134
10693.4    -63.576   -83.162
10848.9    -63.686   -83.189
11006.7    -63.796   -83.217
11166.8    -63.906   -83.246
11329.2    -64.016   -83.277
11494.0    -64.126   -83.310
11661.2    -64.237   -83.343
11830.8    -64.348   -83.376
12002.9    -64.458   -83.411
12177.5    -64.570   -83.449
12354.6    -64.682   -83.485
12534.3    -64.794   -83.519
12716.6    -64.906   -83.553
12901.6    -65.019   -83.586
13089.2    -65.131   -83.622
13279.6    -65.243   -83.664
13472.8    -65.356   -83.711
13668.8    -65.471   -83.757
13867.6    -65.587   -83.792
14069.3    -65.702   -83.821
14273.9    -65.817   -83.845
14481.5    -65.932   -83.866
14692.2    -66.045   -83.891
14905.9    -66.159   -83.920
15122.7    -66.273   -83.950
15342.7    -66.387   -83.981
15565.8    -66.502   -84.010
15792.2    -66.616   -84.036
16021.9    -66.730   -84.066
16255.0    -66.844   -84.102
16491.4    -66.958   -84.140
16731.3    -67.074   -84.176
16974.7    -67.189   -84.211
17221.6    -67.305   -84.244
17472.1    -67.421   -84.275
17726.2    -67.536   -84.307
17984.0    -67.652   -84.339
18245.6    -67.768   -84.370
18511.0    -67.884   -84.401
18780.2    -68.000   -84.433
19053.4    -68.115   -84.466
19330.5    -68.231   -84.504
19611.7    -68.347   -84.547
19897.0    -68.463   -84.579
20186.4    -68.580   -84.610
20480.0    -68.697   -84.640
20777.9    -68.814   -84.670
21080.1    -68.931   -84.699
21386.7    -69.048   -84.728
21697.8    -69.166   -84.757
22013.4    -69.283   -84.785
