Freq[Hz]     dBSPL  Phase[Deg]
5.00000    -84.470   106.711
5.07273    -84.344   106.702
5.14651    -84.219   106.693
5.22137    -84.093   106.685
5.29732    -83.967   106.676
5.37437    -83.841   106.667
5.45254    -83.715   106.658
5.53185    -83.589   106.648
5.61231    -83.463   106.639
5.69394    -83.337   106.630
5.77676    -83.211   106.620
5.86079    -83.085   106.610
5.94604    -82.959   106.600
6.03252    -82.833   106.590
6.12027    -82.707   106.580
6.20929    -82.581   106.570
6.29961    -82.455   106.560
6.39124    -82.329   106.549
6.48420    -82.203   106.538
6.57851    -82.076   106.528
6.67420    -81.950   106.517
6.77128    -81.824   106.505
6.86977    -81.698   106.494
6.96969    -81.572   106.483
7.07107    -81.446   106.471
7.17392    -81.320   106.460
7.27827    -81.194   106.448
7.38413    -81.067   106.436
7.49154    -80.941   106.423
7.60050    -80.815   106.411
7.71105    -80.689   106.399
7.82321    -80.563   106.386
7.93701    -80.436   106.373
8.05245    -80.310   106.360
8.16958    -80.184   106.347
8.28841    -80.058   106.334
8.40896    -79.931   106.320
8.53128    -79.805   106.306
8.65537    -79.679   106.293
8.78126    -79.552   106.279
8.90899    -79.426   106.264
9.03857    -79.300   106.250
9.17004    -79.173   106.235
9.30342    -79.047   106.221
9.43874    -78.920   106.206
9.57603    -78.794   106.190
9.71532    -78.667   106.175
9.85663    -78.541   106.160
10.0000    -78.414   106.144
10.1455    -78.288   106.128
10.2930    -78.161   106.112
10.4427    -78.035   106.095
10.5946    -77.908   106.079
10.7487    -77.782   106.062
10.9051    -77.655   106.045
11.0637    -77.529   106.028
11.2246    -77.402   106.011
11.3879    -77.275   105.993
11.5535    -77.149   105.975
11.7216    -77.022   105.957
11.8921    -76.895   105.939
12.0650    -76.768   105.920
12.2405    -76.641   105.901
12.4186    -76.515   105.882
12.5992    -76.388   105.863
12.7825    -76.261   105.843
12.9684    -76.134   105.824
13.1570    -76.007   105.803
13.3484    -75.880   105.783
13.5426    -75.753   105.763
13.7395    -75.626   105.742
13.9394    -75.499   105.721
14.1421    -75.372   105.700
14.3478    -75.245   105.678
14.5565    -75.118   105.656
14.7683    -74.991   105.634
14.9831    -74.864   105.611
15.2010    -74.737   105.589
15.4221    -74.609   105.566
15.6464    -74.482   105.542
15.8740    -74.355   105.519
16.1049    -74.227   105.495
16.3392    -74.100   105.470
16.5768    -73.973   105.446
16.8179    -73.845   105.421
17.0626    -73.718   105.396
17.3107    -73.590   105.370
17.5625    -73.463   105.345
17.8180    -73.335   105.318
18.0771    -73.207   105.292
18.3401    -73.080   105.265
18.6068    -72.952   105.238
18.8775    -72.824   105.210
19.1521    -72.697   105.182
19.4306    -72.569   105.154
19.7133    -72.441   105.125
20.0000    -72.313   105.096
20.2909    -72.185   105.066
20.5860    -72.057   105.036
20.8855    -71.929   105.006
21.1893    -71.801   104.975
21.4975    -71.673   104.943
21.8102    -71.545   104.911
22.1274    -71.417   104.879
22.4492    -71.288   104.846
22.7758    -71.160   104.813
23.1071    -71.032   104.779
23.4432    -70.904   104.744
23.7841    -70.775   104.710
24.1301    -70.647   104.674
24.4811    -70.519   104.639
24.8372    -70.391   104.603
25.1984    -70.263   104.566
25.5649    -70.134   104.530
25.9368    -70.006   104.493
26.3141    -69.878   104.456
26.6968    -69.750   104.420
27.0851    -69.622   104.384
27.4791    -69.494   104.348
27.8788    -69.366   104.313
28.2843    -69.238   104.278
28.6957    -69.110   104.245
29.1131    -68.982   104.213
29.5365    -68.854   104.182
29.9661    -68.725   104.151
30.4020    -68.596   104.119
30.8442    -68.467   104.088
31.2929    -68.337   104.056
31.7480    -68.208   104.023
32.2098    -68.079   103.992
32.6783    -67.949   103.959
33.1536    -67.819   103.926
33.6359    -67.690   103.893
34.1251    -67.559   103.860
34.6215    -67.429   103.827
35.1250    -67.299   103.794
35.6359    -67.168   103.761
36.1543    -67.037   103.727
36.6802    -66.906   103.692
37.2137    -66.775   103.657
37.7550    -66.644   103.622
38.3041    -66.513   103.586
38.8613    -66.381   103.549
39.4265    -66.250   103.513
40.0000    -66.118   103.475
40.5818    -65.986   103.438
41.1721    -65.854   103.400
41.7710    -65.722   103.362
42.3785    -65.590   103.324
42.9949    -65.457   103.286
43.6203    -65.325   103.248
44.2548    -65.192   103.209
44.8985    -65.059   103.171
45.5515    -64.926   103.132
46.2141    -64.793   103.094
46.8863    -64.660   103.055
47.5683    -64.526   103.016
48.2602    -64.393   102.978
48.9621    -64.259   102.939
49.6743    -64.125   102.901
50.3968    -63.991   102.862
51.1299    -63.857   102.824
51.8736    -63.722   102.787
52.6281    -63.588   102.749
53.3936    -63.453   102.712
54.1702    -63.317   102.675
54.9581    -63.182   102.638
55.7575    -63.047   102.602
56.5685    -62.911   102.566
57.3914    -62.775   102.531
58.2261    -62.639   102.496
59.0730    -62.502   102.462
59.9323    -62.366   102.429
60.8040    -62.229   102.396
61.6884    -62.091   102.364
62.5857    -61.954   102.332
63.4960    -61.816   102.302
64.4196    -61.678   102.272
65.3566    -61.539   102.243
66.3073    -61.400   102.215
67.2717    -61.261   102.189
68.2502    -61.122   102.163
69.2429    -60.982   102.138
70.2501    -60.841   102.114
71.2719    -60.701   102.091
72.3086    -60.560   102.070
73.3603    -60.418   102.049
74.4274    -60.276   102.030
75.5099    -60.134   102.012
76.6083    -59.991   101.995
77.7226    -59.848   101.980
78.8531    -59.704   101.966
80.0000    -59.559   101.952
81.1636    -59.415   101.940
82.3442    -59.269   101.930
83.5419    -59.123   101.921
84.7570    -58.977   101.914
85.9899    -58.830   101.908
87.2406    -58.683   101.904
88.5096    -58.535   101.901
89.7970    -58.386   101.901
91.1031    -58.237   101.902
92.4282    -58.087   101.905
93.7726    -57.936   101.911
95.1366    -57.785   101.918
96.5204    -57.633   101.928
97.9243    -57.481   101.940
99.3486    -57.328   101.954
100.794    -57.174   101.971
102.260    -57.019   101.990
103.747    -56.864   102.004
105.256    -56.711   102.015
106.787    -56.549   102.039
108.340    -56.386   102.065
109.916    -56.223   102.087
111.515    -56.060   102.105
113.137    -55.894   102.116
114.783    -55.729   102.122
116.452    -55.564   102.124
118.146    -55.398   102.119
119.865    -55.230   102.108
121.608    -55.063   102.091
123.377    -54.897   102.070
125.171    -54.728   102.040
126.992    -54.558   102.001
