Freq[Hz]     dBSPL  Phase[Deg]
5.00000    -33.985  -117.431
5.07273    -33.849  -117.307
5.14651    -33.714  -117.181
5.22137    -33.578  -117.052
5.29732    -33.442  -116.921
5.37437    -33.306  -116.787
5.45254    -33.170  -116.652
5.53185    -33.034  -116.513
5.61231    -32.898  -116.373
5.69394    -32.762  -116.229
5.77676    -32.626  -116.083
5.86079    -32.490  -115.935
5.94604    -32.354  -115.784
6.03252    -32.218  -115.630
6.12027    -32.082  -115.473
6.20929    -31.946  -115.313
6.29961    -31.810  -115.151
6.39124    -31.674  -114.985
6.48420    -31.538  -114.817
6.57851    -31.402  -114.646
6.67420    -31.266  -114.471
6.77128    -31.130  -114.294
6.86977    -30.995  -114.113
6.96969    -30.859  -113.929
7.07107    -30.723  -113.741
7.17392    -30.588  -113.551
7.27827    -30.452  -113.357
7.38413    -30.317  -113.159
7.49154    -30.181  -112.958
7.60050    -30.046  -112.754
7.71105    -29.911  -112.546
7.82321    -29.776  -112.334
7.93701    -29.641  -112.118
8.05245    -29.507  -111.899
8.16958    -29.373  -111.676
8.28841    -29.238  -111.449
8.40896    -29.104  -111.218
8.53128    -28.971  -110.983
8.65537    -28.837  -110.744
8.78126    -28.704  -110.501
8.90899    -28.571  -110.254
9.03857    -28.439  -110.003
9.17004    -28.306  -109.748
9.30342    -28.175  -109.488
9.43874    -28.043  -109.225
9.57603    -27.912  -108.957
9.71532    -27.781  -108.684
9.85663    -27.651  -108.408
10.0000    -27.521  -108.127
10.1455    -27.392  -107.841
10.2930    -27.263  -107.551
10.4427    -27.135  -107.257
10.5946    -27.007  -106.959
10.7487    -26.880  -106.656
10.9051    -26.754  -106.348
11.0637    -26.628  -106.036
11.2246    -26.503  -105.720
11.3879    -26.379  -105.400
11.5535    -26.256  -105.075
11.7216    -26.133  -104.746
11.8921    -26.011  -104.413
12.0650    -25.890  -104.075
12.2405    -25.771  -103.734
12.4186    -25.652  -103.388
12.5992    -25.534  -103.038
12.7825    -25.417  -102.685
12.9684    -25.301  -102.328
13.1570    -25.187  -101.967
13.3484    -25.073  -101.603
13.5426    -24.961  -101.235
13.7395    -24.851  -100.864
13.9394    -24.741  -100.491
14.1421    -24.633  -100.114
14.3478    -24.527   -99.735
14.5565    -24.422   -99.354
14.7683    -24.319   -98.970
14.9831    -24.217   -98.584
15.2010    -24.117   -98.197
15.4221    -24.019   -97.809
15.6464    -23.923   -97.419
15.8740    -23.828   -97.029
16.1049    -23.736   -96.639
16.3392    -23.645   -96.249
16.5768    -23.557   -95.859
16.8179    -23.471   -95.470
17.0626    -23.387   -95.083
17.3107    -23.305   -94.698
17.5625    -23.226   -94.315
17.8180    -23.149   -93.934
18.0771    -23.075   -93.558
18.3401    -23.003   -93.185
18.6068    -22.935   -92.817
18.8775    -22.868   -92.455
19.1521    -22.805   -92.098
19.4306    -22.745   -91.748
19.7133    -22.688   -91.406
20.0000    -22.633   -91.072
20.2909    -22.583   -90.747
20.5860    -22.535   -90.432
20.8855    -22.491   -90.127
21.1893    -22.450   -89.835
21.4975    -22.413   -89.554
21.8102    -22.380   -89.288
22.1274    -22.351   -89.036
22.4492    -22.326   -88.800
22.7758    -22.305   -88.581
23.1071    -22.289   -88.379
23.4432    -22.277   -88.197
23.7841    -22.269   -88.035
24.1301    -22.267   -87.894
24.4811    -22.270   -87.777
24.8372    -22.278   -87.684
25.1984    -22.292   -87.616
25.5649    -22.312   -87.576
25.9368    -22.338   -87.563
26.3141    -22.371   -87.581
26.6968    -22.410   -87.631
27.0851    -22.457   -87.714
27.4791    -22.512   -87.831
27.8788    -22.575   -87.985
28.2843    -22.646   -88.178
28.6957    -22.727   -88.411
29.1131    -22.819   -88.686
29.5365    -22.920   -89.006
29.9661    -23.034   -89.373
30.4020    -23.159   -89.792
30.8442    -23.299   -90.263
31.2929    -23.453   -90.790
31.7480    -23.624   -91.376
32.2098    -23.813   -92.020
32.6783    -24.022   -92.729
33.1536    -24.253   -93.504
33.6359    -24.508   -94.347
34.1251    -24.791   -95.260
34.6215    -25.104   -96.246
35.1250    -25.452   -97.307
35.6359    -25.840   -98.444
36.1543    -26.271   -99.660
36.6802    -26.754  -100.957
37.2137    -27.297  -102.334
37.7550    -27.908  -103.791
38.3041    -28.602  -105.328
38.8613    -29.394  -106.943
39.4265    -30.306  -108.635
40.0000    -31.368  -110.400
40.5818    -32.626  -112.233
41.1721    -34.145  -114.130
41.7710    -36.040  -116.084
42.3785    -38.522  -118.090
42.9949    -42.070  -120.138
43.6203    -48.242  -122.220
44.2548    -76.900    55.672
44.8985    -47.661    53.549
45.5515    -41.837    51.420
46.2141    -38.431    49.294
46.8863    -36.041    47.180
47.5683    -34.218    45.089
48.2602    -32.761    43.027
48.9621    -31.562    41.002
49.6743    -30.556    39.020
50.3968    -29.699    37.088
51.1299    -27.656    32.497
51.8736    -27.644    31.941
52.6281    -27.660    31.356
53.3936    -27.664    30.867
54.1702    -27.677    30.343
54.9581    -27.690    29.818
55.7575    -27.708    29.268
56.5685    -27.728    28.731
57.3914    -27.751    28.210
58.2261    -27.776    27.686
59.0730    -27.811    27.134
59.9323    -27.847    26.635
60.8040    -27.885    26.099
61.6884    -27.929    25.579
62.5857    -27.978    25.056
63.4960    -28.031    24.543
64.4196    -28.088    24.031
65.3566    -28.152    23.517
66.3073    -28.219    23.016
67.2717    -28.293    22.516
68.2502    -28.372    22.019
69.2429    -28.457    21.531
70.2501    -28.549    21.048
71.2719    -28.647    20.570
72.3086    -28.752    20.096
73.3603    -28.864    19.633
74.4274    -28.984    19.178
75.5099    -29.112    18.734
76.6083    -29.250    18.301
77.7226    -29.396    17.874
78.8531    -29.552    17.464
80.0000    -29.719    17.070
81.1636    -29.897    16.690
82.3442    -30.088    16.329
83.5419    -30.291    15.988
84.7570    -30.509    15.669
85.9899    -30.742    15.381
87.2406    -30.991    15.121
88.5096    -31.259    14.897
89.7970    -31.547    14.715
91.1031    -31.857    14.581
92.4282    -32.191    14.504
93.7726    -32.552    14.494
95.1366    -32.942    14.565
96.5204    -33.366    14.733
97.9243    -33.828    15.018
99.3486    -34.333    15.449
100.794    -34.886    16.056
102.260    -35.495    16.917
103.747    -36.168    18.071
105.256    -36.915    19.617
106.787    -37.745    21.702
108.340    -38.672    24.528
109.916    -39.701    28.397
111.515    -40.830    33.763
113.137    -42.023    41.284
114.783    -43.172    51.764
116.452    -44.035    65.731
118.146    -44.271    82.350
