Freq[Hz]  Imp[Ohm]  Phase[Deg]
5.00000      6.104    11.176
5.07273      6.112    11.211
5.14651      6.120    11.247
5.22137      6.129    11.284
5.29732      6.137    11.322
5.37437      6.146    11.362
5.45254      6.155    11.404
5.53185      6.165    11.446
5.61231      6.175    11.490
5.69394      6.185    11.536
5.77676      6.195    11.583
5.86079      6.206    11.631
5.94604      6.217    11.682
6.03252      6.228    11.733
6.12027      6.240    11.787
6.20929      6.252    11.842
6.29961      6.264    11.899
6.39124      6.277    11.958
6.48420      6.290    12.019
6.57851      6.303    12.081
6.67420      6.317    12.146
6.77128      6.332    12.212
6.86977      6.346    12.281
6.96969      6.362    12.351
7.07107      6.377    12.424
7.17392      6.393    12.499
7.27827      6.410    12.576
7.38413      6.427    12.656
7.49154      6.445    12.738
7.60050      6.463    12.822
7.71105      6.482    12.909
7.82321      6.502    12.999
7.93701      6.522    13.091
8.05245      6.543    13.185
8.16958      6.564    13.283
8.28841      6.586    13.383
8.40896      6.609    13.486
8.53128      6.633    13.592
8.65537      6.657    13.701
8.78126      6.683    13.813
8.90899      6.709    13.928
9.03857      6.736    14.046
9.17004      6.764    14.167
9.30342      6.792    14.292
9.43874      6.822    14.420
9.57603      6.853    14.552
9.71532      6.885    14.687
9.85663      6.918    14.825
10.0000      6.952    14.967
10.1455      6.988    15.113
10.2930      7.022    15.264
10.4427      7.060    15.410
10.5946      7.098    15.553
10.7487      7.139    15.705
10.9051      7.182    15.867
11.0637      7.226    16.031
11.2246      7.271    16.198
11.3879      7.315    16.359
11.5535      7.361    16.509
11.7216      7.412    16.647
11.8921      7.469    16.783
12.0650      7.528    16.928
12.2405      7.586    17.063
12.4186      7.644    17.234
12.5992      7.710    17.446
12.7825      7.786    17.576
12.9684      7.851    17.599
13.1570      7.906    17.676
13.3484      7.984    17.835
13.5426      8.075    18.003
13.7395      8.157    18.131
13.9394      8.238    18.199
14.1421      8.332    18.280
14.3478      8.435    18.348
14.5565      8.545    18.374
14.7683      8.654    18.411
14.9831      8.763    18.444
15.2010      8.888    18.434
15.4221      9.029    18.410
