Freq[Hz]      Mag   Phase[Deg]
5.00000      6.024     0.000
5.07273      6.713     0.000
5.14651      7.402     0.000
5.22137      8.088     0.000
5.29732      8.772     0.000
5.37437      9.455     0.000
5.45254     10.136     0.000
5.53185     10.815     0.000
5.61231     11.492     0.000
5.69394     12.168     0.000
5.77676     12.842     0.000
5.86079     13.515     0.000
5.94604     14.185     0.000
6.03252     14.855     0.000
6.12027     15.523     0.000
6.20929     16.189     0.000
6.29961     16.854     0.000
6.39124     17.518     0.000
6.48420     18.180     0.000
6.57851     18.842     0.000
6.67420     19.502     0.000
6.77128     20.161     0.000
6.86977     20.819     0.000
6.96969     21.476     0.000
7.07107     22.132     0.000
7.17392     22.788     0.000
7.27827     23.442     0.000
7.38413     24.097     0.000
7.49154     24.751     0.000
7.60050     25.404     0.000
7.71105     26.058     0.000
7.82321     26.711     0.000
7.93701     27.364     0.000
8.05245     28.017     0.000
8.16958     28.671     0.000
8.28841     29.325     0.000
8.40896     29.980     0.000
8.53128     30.635     0.000
8.65537     31.292     0.000
8.78126     31.949     0.000
8.90899     32.607     0.000
9.03857     33.267     0.000
9.17004     33.928     0.000
9.30342     34.590     0.000
9.43874     35.254     0.000
9.57603     35.920     0.000
9.71532     36.587     0.000
9.85663     37.257     0.000
10.0000     37.928     0.000
10.1455     38.478     0.000
10.2930     38.841     0.000
10.4427     39.289     0.000
10.5946     39.793     0.000
10.7487     40.371     0.000
10.9051     41.021     0.000
11.0637     41.722     0.000
11.2246     42.461     0.000
11.3879     43.229     0.000
11.5535     44.021     0.000
11.7216     44.829     0.000
11.8921     45.642     0.000
12.0650     46.459     0.000
12.2405     47.275     0.000
12.4186     48.087     0.000
12.5992     48.893     0.000
12.7825     49.690     0.000
12.9684     50.481     0.000
13.1570     51.263     0.000
13.3484     52.038     0.000
13.5426     52.805     0.000
13.7395     53.556     0.000
13.9394     54.304     0.000
14.1421     55.044     0.000
14.3478     55.777     0.000
14.5565     56.503     0.000
14.7683     57.220     0.000
14.9831     57.929     0.000
15.2010     58.633     0.000
15.4221     59.333     0.000
15.6464     60.027     0.000
15.8740     60.714     0.000
16.1049     61.397     0.000
16.3392     62.076     0.000
16.5768     62.750     0.000
16.8179     63.422     0.000
17.0626     64.091     0.000
17.3107     64.753     0.000
17.5625     65.412     0.000
17.8180     66.072     0.000
18.0771     66.729     0.000
18.3401     67.384     0.000
18.6068     68.037     0.000
18.8775     68.688     0.000
19.1521     69.335     0.000
19.4306     69.982     0.000
19.7133     70.631     0.000
20.0000     71.279     0.000
20.2909     71.926     0.000
20.5860     72.574     0.000
20.8855     73.223     0.000
21.1893     73.871     0.000
21.4975     74.518     0.000
21.8102     75.165     0.000
22.1274     75.816     0.000
22.4492     76.466     0.000
22.7758     77.116     0.000
23.1071     77.768     0.000
23.4432     78.415     0.000
23.7841     79.063     0.000
24.1301     79.710     0.000
24.4811     80.353     0.000
24.8372     80.993     0.000
25.1984     81.630     0.000
25.5649     82.261     0.000
25.9368     82.878     0.000
26.3141     83.484     0.000
26.6968     84.079     0.000
27.0851     84.658     0.000
27.4791     85.215     0.000
27.8788     85.744     0.000
28.2843     86.246     0.000
28.6957     86.717     0.000
29.1131     87.162     0.000
29.5365     87.558     0.000
29.9661     87.932     0.000
30.4020     88.305     0.000
30.8442     88.643     0.000
31.2929     88.981     0.000
31.7480     89.304     0.000
32.2098     89.586     0.000
32.6783     89.877     0.000
33.1536     90.165     0.000
33.6359     90.419     0.000
34.1251     90.640     0.000
34.6215     90.854     0.000
35.1250     91.051     0.000
35.6359     91.215     0.000
36.1543     91.379     0.000
36.6802     91.549     0.000
37.2137     91.708     0.000
37.7550     91.861     0.000
38.3041     92.022     0.000
38.8613     92.178     0.000
39.4265     92.330     0.000
40.0000     92.486     0.000
40.5818     92.634     0.000
41.1721     92.779     0.000
41.7710     92.930     0.000
42.3785     93.073     0.000
42.9949     93.214     0.000
43.6203     93.360     0.000
44.2548     93.509     0.000
44.8985     93.657     0.000
45.5515     93.807     0.000
46.2141     93.958     0.000
46.8863     94.110     0.000
47.5683     94.262     0.000
48.2602     94.417     0.000
48.9621     94.578     0.000
49.6743     94.740     0.000
50.3968     94.906     0.000
51.1299     95.072     0.000
51.8736     95.222     0.000
52.6281     95.368     0.000
53.3936     95.526     0.000
54.1702     95.690     0.000
54.9581     95.856     0.000
55.7575     96.021     0.000
56.5685     96.188     0.000
57.3914     96.356     0.000
58.2261     96.519     0.000
59.0730     96.672     0.000
59.9323     96.817     0.000
60.8040     96.966     0.000
61.6884     97.115     0.000
62.5857     97.254     0.000
63.4960     97.387     0.000
64.4196     97.514     0.000
65.3566     97.639     0.000
66.3073     97.759     0.000
67.2717     97.868     0.000
68.2502     97.970     0.000
69.2429     98.063     0.000
70.2501     98.146     0.000
71.2719     98.222     0.000
72.3086     98.289     0.000
73.3603     98.348     0.000
74.4274     98.401     0.000
75.5099     98.449     0.000
76.6083     98.485     0.000
77.7226     98.498     0.000
78.8531     98.496     0.000
80.0000     98.519     0.000
81.1636     98.564     0.000
82.3442     98.599     0.000
83.5419     98.626     0.000
84.7570     98.642     0.000
85.9899     98.650     0.000
87.2406     98.654     0.000
88.5096     98.675     0.000
89.7970     98.707     0.000
91.1031     98.726     0.000
92.4282     98.737     0.000
93.7726     98.750     0.000
95.1366     98.764     0.000
96.5204     98.779     0.000
97.9243     98.789     0.000
99.3486     98.784     0.000
100.794     98.766     0.000
102.260     98.738     0.000
103.747     98.744     0.000
105.256     98.831     0.000
106.787     98.931     0.000
108.340     98.973     0.000
109.916     98.990     0.000
111.515     98.992     0.000
113.137     98.973     0.000
114.783     98.942     0.000
116.452     98.911     0.000
118.146     98.892     0.000
119.865     98.879     0.000
121.608     98.864     0.000
123.377     98.850     0.000
125.171     98.823     0.000
126.992     98.787     0.000
128.839     98.809     0.000
