Freq[Hz]     dBSPL  Phase[Deg]
5.00000    -79.338  -166.831
5.07273    -78.962  -158.195
5.14651    -78.586  -149.433
5.22137    -78.210  -140.543
5.29732    -77.834  -131.524
5.37437    -77.458  -122.374
5.45254    -77.082  -113.091
5.53185    -76.706  -103.672
5.61231    -76.330   -94.117
5.69394    -75.954   -84.423
5.77676    -75.578   -74.587
5.86079    -75.202   -64.609
5.94604    -74.826   -54.485
6.03252    -74.450   -44.214
6.12027    -74.074   -33.794
6.20929    -73.698   -23.222
6.29961    -73.322   -12.497
6.39124    -72.945    -1.615
6.48420    -72.569     9.425
6.57851    -72.193    20.625
6.67420    -71.817    31.988
6.77128    -71.441    43.517
6.86977    -71.065    55.214
6.96969    -70.688    67.080
7.07107    -70.312    79.119
7.17392    -69.936    91.334
7.27827    -69.560   103.726
7.38413    -69.184   116.298
7.49154    -68.807   129.053
7.60050    -68.431   141.994
7.71105    -68.055   155.123
7.82321    -67.679   168.442
7.93701    -67.302  -178.044
8.05245    -66.926  -164.334
8.16958    -66.550  -150.424
8.28841    -66.173  -136.312
8.40896    -65.797  -121.995
8.53128    -65.421  -107.469
8.65537    -65.044   -92.732
8.78126    -64.668   -77.781
8.90899    -64.291   -62.612
9.03857    -63.915   -47.223
9.17004    -63.538   -31.609
9.30342    -63.162   -15.769
9.43874    -62.786     0.302
9.57603    -62.409    16.606
9.71532    -62.033    33.148
9.85663    -61.656    49.931
10.0000    -61.279    66.957
10.1455    -60.900   -45.804
10.2930    -60.524   -50.216
10.4427    -60.146    22.336
10.5946    -59.767    36.981
10.7487    -59.398    77.210
10.9051    -59.018    92.274
11.0637    -58.640   118.096
11.2246    -58.264   133.410
11.3879    -57.886   150.965
11.5535    -57.511   166.498
11.7216    -57.136   178.619
11.8921    -56.758  -165.645
12.0650    -56.381  -157.421
12.2405    -56.002  -141.530
12.4186    -55.626  -136.274
12.5992    -55.258  -120.235
12.7825    -54.873  -117.194
12.9684    -54.498  -101.119
13.1570    -54.122   -99.925
13.3484    -53.743   -84.365
13.5426    -53.371   -82.819
13.7395    -52.993   -69.841
13.9394    -52.617   -66.938
14.1421    -52.238   -56.315
14.3478    -51.858   -52.303
14.5565    -51.489   -43.723
14.7683    -51.112   -38.661
14.9831    -50.733   -31.807
15.2010    -50.358   -25.959
15.4221    -49.980   -20.600
15.6464    -49.605   -14.043
15.8740    -49.230    -9.997
16.1049    -48.853    -2.792
16.3392    -48.476     0.074
16.5768    -48.095     7.834
16.8179    -47.716     9.583
17.0626    -47.355    17.823
17.3107    -46.970    18.773
17.5625    -46.596    27.156
17.8180    -46.221    28.079
18.0771    -45.843    35.457
18.3401    -45.471    37.126
18.6068    -45.094    43.431
18.8775    -44.719    45.797
19.1521    -44.339    51.101
19.4306    -43.956    54.039
19.7133    -43.591    58.328
20.0000    -43.223    61.941
20.2909    -42.845    65.459
20.5860    -42.473    69.543
20.8855    -42.099    72.291
21.1893    -41.725    76.863
21.4975    -41.347    78.930
21.8102    -40.957    83.855
22.1274    -40.601    85.092
22.4492    -40.241    90.573
22.7758    -39.865    91.347
23.1071    -39.501    97.032
23.4432    -39.130    97.717
23.7841    -38.767   102.836
24.1301    -38.403   104.136
24.4811    -38.038   108.601
24.8372    -37.676   110.664
25.1984    -37.216   114.566
25.5649    -36.842   116.210
25.9368    -36.529   119.501
26.3141    -36.156   122.528
26.6968    -35.724   125.499
27.0851    -35.266   128.511
27.4791    -34.825   130.324
27.8788    -34.429   133.414
28.2843    -33.998   134.906
28.6957    -33.588   137.846
29.1131    -33.299   138.942
29.5365    -32.815   143.151
29.9661    -32.446   142.910
30.4020    -32.081   147.376
30.8442    -31.690   147.054
31.2929    -31.421   151.171
31.7480    -30.975   152.276
32.2098    -30.587   155.252
32.6783    -30.217   156.415
33.1536    -29.833   159.014
33.6359    -29.511   160.506
34.1251    -29.122   163.211
34.6215    -28.713   164.947
35.1250    -28.340   166.826
35.6359    -27.953   168.990
36.1543    -27.563   170.431
36.6802    -27.190   172.782
37.2137    -26.810   173.898
37.7550    -26.434   176.540
38.3041    -26.057   177.286
38.8613    -25.685  -179.840
39.4265    -25.329  -179.319
40.0000    -24.922  -175.992
40.5818    -24.540  -175.939
41.1721    -24.163  -172.890
41.7710    -23.781  -172.450
42.3785    -23.404  -169.822
42.9949    -23.021  -169.047
43.6203    -22.641  -166.817
44.2548    -22.261  -165.750
44.8985    -21.878  -163.870
45.5515    -21.497  -162.547
46.2141    -21.114  -161.002
46.8863    -20.729  -159.433
47.5683    -20.347  -158.251
48.2602    -19.965  -156.448
48.9621    -19.592  -155.597
49.6743    -19.223  -153.431
50.3968    -18.820  -152.739
51.1299    -18.431  -150.545
51.8736    -18.045  -150.190
52.6281    -17.653  -147.771
53.3936    -17.272  -147.651
54.1702    -16.883  -145.261
