Freq[Hz]     dBSPL  Phase[Deg]
5.00000     -5.572    34.354
5.07273     -4.881    40.417
5.14651     -4.193    46.556
5.22137     -3.506    52.772
5.29732     -2.822    59.065
5.37437     -2.140    65.437
5.45254     -1.459    71.890
5.53185     -0.781    78.423
5.61231     -0.105    85.039
5.69394      0.569    91.737
5.77676      1.242    98.520
5.86079      1.913   105.389
5.94604      2.581   112.344
6.03252      3.249   119.386
6.12027      3.914   126.518
6.20929      4.578   133.739
6.29961      5.241   141.051
6.39124      5.902   148.456
6.48420      6.561   155.954
6.57851      7.219   163.546
6.67420      7.876   171.235
6.77128      8.532   179.020
6.86977      9.187  -173.095
6.96969      9.841  -165.112
7.07107     10.493  -157.027
7.17392     11.145  -148.839
7.27827     11.797  -140.548
7.38413     12.447  -132.151
7.49154     13.098  -123.647
7.60050     13.747  -115.034
7.71105     14.397  -106.311
7.82321     15.046   -97.476
7.93701     15.696   -88.526
8.05245     16.346   -79.461
8.16958     16.995   -70.278
8.28841     17.646   -60.975
8.40896     18.297   -51.550
8.53128     18.948   -42.001
8.65537     19.601   -32.324
8.78126     20.254   -22.518
8.90899     20.909   -12.579
9.03857     21.565    -2.506
9.17004     22.222     7.705
9.30342     22.881    18.057
9.43874     23.541    28.552
9.57603     24.204    39.195
9.71532     24.868    49.989
9.85663     25.534    60.936
10.0000     26.202    72.041
10.1455     26.737   -89.487
10.2930     27.093   -93.449
10.4427     27.537   -40.114
10.5946     28.036   -25.712
10.7487     28.611     3.484
10.9051     29.257    17.065
11.0637     29.957    35.821
11.2246     30.694    48.311
11.3879     31.461    61.192
11.5535     32.253    72.686
11.7216     33.059    81.734
11.8921     33.873    92.309
12.0650     34.690    98.682
12.2405     35.506   108.476
12.4186     36.318   112.882
12.5992     37.124   122.020
12.7825     37.921   124.937
12.9684     38.713   133.541
13.1570     39.496   135.297
13.3484     40.271   143.186
13.5426     41.038   144.825
13.7395     41.790   151.170
13.9394     42.537   153.186
14.1421     43.278   158.250
14.3478     44.011   160.524
14.5565     44.737   164.511
14.7683     45.454   166.970
14.9831     46.164   170.058
15.2010     46.869   172.685
15.4221     47.569   175.020
15.6464     48.263   177.754
15.8740     48.950   179.413
16.1049     49.633  -177.768
16.3392     50.312  -176.679
16.5768     50.986  -173.783
16.8179     51.658  -173.193
17.0626     52.327  -170.282
17.3107     52.988  -170.170
17.5625     53.648  -167.286
17.8180     54.306  -167.254
18.0771     54.964  -164.901
18.3401     55.618  -164.707
18.6068     56.271  -162.879
18.8775     56.921  -162.540
19.1521     57.569  -161.202
19.4306     58.216  -160.726
19.7133     58.864  -159.826
20.0000     59.512  -159.283
20.2909     60.159  -158.822
20.5860     60.806  -158.198
20.8855     61.454  -158.137
21.1893     62.101  -157.492
21.4975     62.748  -157.843
21.8102     63.394  -157.187
22.1274     64.044  -157.888
22.4492     64.694  -157.273
22.7758     65.343  -158.379
23.1071     65.994  -157.869
23.4432     66.641  -159.217
23.7841     67.288  -159.089
24.1301     67.933  -160.487
24.4811     68.576  -160.850
24.8372     69.215  -162.310
25.1984     69.851  -163.172
25.5649     70.481  -164.773
25.9368     71.098  -166.144
26.3141     71.702  -167.854
26.6968     72.296  -169.724
27.0851     72.874  -171.710
27.4791     73.430  -174.071
27.8788     73.958  -176.052
28.2843     74.459  -178.736
28.6957     74.928   179.151
29.1131     75.371   176.027
29.5365     75.767   173.921
29.9661     76.139   170.845
30.4020     76.511   168.968
30.8442     76.847   165.965
31.2929     77.185   164.159
31.7480     77.506   161.157
32.2098     77.787   159.020
32.6783     78.076   156.212
33.1536     78.362   153.917
33.6359     78.614   151.218
34.1251     78.834   148.980
34.6215     79.046   146.640
35.1250     79.242   144.314
35.6359     79.404   142.075
36.1543     79.566   139.893
36.6802     79.734   138.069
37.2137     79.891   135.885
37.7550     80.042   134.330
38.3041     80.201   132.180
38.8613     80.356   130.601
39.4265     80.505   128.359
40.0000     80.658   127.183
40.5818     80.804   124.969
41.1721     80.947   123.750
41.7710     81.096   121.792
42.3785     81.236   120.533
42.9949     81.375   118.710
43.6203     81.518   117.367
44.2548     81.665   115.666
44.8985     81.810   114.243
45.5515     81.957   112.696
46.2141     82.106   111.235
46.8863     82.255   109.786
47.5683     82.403   108.225
48.2602     82.556   106.896
48.9621     82.713   105.280
49.6743     82.872   103.999
50.3968     83.035   102.221
51.1299     83.198   100.898
51.8736     83.344    98.937
52.6281     83.487    97.762
53.3936     83.641    95.890
54.1702     83.802    94.678
54.9581     83.963    92.779
55.7575     84.125    91.407
56.5685     84.288    89.513
57.3914     84.452    87.942
58.2261     84.610    86.021
59.0730     84.759    84.273
59.9323     84.900    82.366
60.8040     85.044    80.538
61.6884     85.188    78.659
62.5857     85.323    76.660
63.4960     85.450    74.772
64.4196     85.572    72.682
65.3566     85.691    70.843
66.3073     85.806    68.603
67.2717     85.910    66.739
68.2502     86.006    64.402
69.2429     86.093    62.572
70.2501     86.171    60.156
71.2719     86.241    58.304
72.3086     86.301    55.930
73.3603     86.353    54.032
74.4274     86.400    51.766
75.5099     86.440    49.845
76.6083     86.470    47.643
77.7226     86.475    45.628
78.8531     86.466    43.670
80.0000     86.482    41.962
81.1636     86.518    40.129
82.3442     86.546    38.148
83.5419     86.564    36.274
84.7570     86.572    34.294
85.9899     86.571    32.550
87.2406     86.566    30.633
88.5096     86.578    29.082
89.7970     86.601    27.067
91.1031     86.610    25.431
92.4282     86.611    23.398
93.7726     86.614    21.839
95.1366     86.617    19.848
96.5204     86.622    18.202
97.9243     86.622    16.182
99.3486     86.605    14.484
100.794     86.575    12.627
102.260     86.536    11.103
103.747     86.529     9.771
105.256     86.604     8.402
106.787     86.691     6.472
108.340     86.720     4.273
109.916     86.724     2.199
111.515     86.712    -0.002
113.137     86.679    -1.996
114.783     86.633    -4.055
116.452     86.589    -5.756
118.146     86.555    -7.698
119.865     86.526    -9.357
121.608     86.496   -11.372
123.377     86.465   -13.016
125.171     86.422   -15.024
126.992     86.369   -16.518
128.839     86.374   -18.131
130.713     86.418   -19.998
132.615     86.403   -22.386
134.543     86.341   -24.466
136.500     86.276   -26.478
138.486     86.209   -28.374
140.500     86.138   -30.245
142.544     86.069   -31.995
144.617     86.026   -33.637
146.721     85.999   -35.531
148.855     85.947   -37.462
151.020     85.869   -39.380
