Freq[Hz]     dBSPL  Phase[Deg]
5.00000     -5.036   -36.976
5.07273     -4.348   -30.330
5.14651     -3.663   -23.605
5.22137     -2.980   -16.799
5.29732     -2.300    -9.912
5.37437     -1.622    -2.942
5.45254     -0.946     4.112
5.53185     -0.273    11.251
5.61231      0.398    18.477
5.69394      1.067    25.790
5.77676      1.734    33.193
5.86079      2.398    40.685
5.94604      3.061    48.269
6.03252      3.722    55.946
6.12027      4.380    63.717
6.20929      5.037    71.582
6.29961      5.692    79.544
6.39124      6.346    87.604
6.48420      6.998    95.763
6.57851      7.648   104.021
6.67420      8.297   112.382
6.77128      8.944   120.845
6.86977      9.590   129.412
6.96969     10.235   138.085
7.07107     10.879   146.865
7.17392     11.522   155.753
7.27827     12.165   164.751
7.38413     12.806   173.861
7.49154     13.447  -176.916
7.60050     14.087  -167.578
7.71105     14.728  -158.123
7.82321     15.368  -148.549
7.93701     16.008  -138.855
8.05245     16.649  -129.038
8.16958     17.290  -119.097
8.28841     17.931  -109.028
8.40896     18.574   -98.830
8.53128     19.217   -88.499
8.65537     19.861   -78.034
8.78126     20.507   -67.432
8.90899     21.154   -56.688
9.03857     21.803   -45.801
9.17004     22.454   -34.768
9.30342     23.107   -23.583
9.43874     23.762   -12.245
9.57603     24.420    -0.749
9.71532     25.080    10.909
9.85663     25.742    22.732
10.0000     26.407    34.725
10.1455     26.987  -120.291
10.2930     27.324  -122.772
10.4427     27.776   -67.666
10.5946     28.279   -52.050
10.7487     28.860   -21.881
10.9051     29.510    -7.337
11.0637     30.214    12.121
11.2246     30.954    25.370
11.3879     31.723    38.849
11.5535     32.517    50.935
11.7216     33.324    60.541
11.8921     34.139    71.565
12.0650     34.956    78.486
12.2405     35.773    88.612
12.4186     36.584    93.574
12.5992     37.391   102.940
12.7825     38.187   106.429
12.9684     38.979   115.172
13.1570     39.760   117.517
13.3484     40.536   125.485
13.5426     41.302   127.667
13.7395     42.054   134.119
13.9394     42.800   136.589
14.1421     43.541   141.794
14.3478     44.273   144.447
14.5565     44.999   148.611
14.7683     45.716   151.378
14.9831     46.424   154.678
15.2010     47.129   157.549
15.4221     47.829   160.130
15.6464     48.523   163.046
15.8740     49.210   164.979
16.1049     49.892   167.921
16.3392     50.571   169.316
16.5768     51.245   172.283
16.8179     51.916   173.207
17.0626     52.585   176.143
17.3107     53.246   176.618
17.5625     53.906   179.492
17.8180     54.564   179.863
18.0771     55.222  -177.766
18.3401     55.876  -177.280
18.6068     56.530  -175.402
18.8775     57.180  -174.825
19.1521     57.827  -173.404
19.4306     58.474  -172.734
19.7133     59.122  -171.719
20.0000     59.770  -171.026
20.2909     60.416  -170.418
20.5860     61.064  -169.683
20.8855     61.713  -169.448
21.1893     62.360  -168.734
21.4975     63.007  -168.887
21.8102     63.654  -168.201
22.1274     64.304  -168.680
22.4492     64.954  -168.066
22.7758     65.603  -168.924
23.1071     66.255  -168.443
23.4432     66.902  -169.539
23.7841     67.550  -169.422
24.1301     68.196  -170.620
24.4811     68.838  -170.965
24.8372     69.478  -172.256
25.1984     70.114  -173.071
25.5649     70.745  -174.534
25.9368     71.362  -175.832
26.3141     71.968  -177.440
26.6968     72.562  -179.219
27.0851     73.140   178.869
27.4791     73.696   176.626
27.8788     74.225   174.691
28.2843     74.727   172.143
28.6957     75.197   170.044
29.1131     75.641   167.081
29.5365     76.037   164.964
29.9661     76.410   162.066
30.4020     76.783   160.154
30.8442     77.119   157.333
31.2929     77.458   155.506
31.7480     77.780   152.654
32.2098     78.060   150.521
32.6783     78.350   147.840
33.1536     78.637   145.565
33.6359     78.890   142.965
34.1251     79.111   140.771
34.6215     79.324   138.505
35.1250     79.520   136.239
35.6359     79.683   134.051
36.1543     79.846   131.949
36.6802     80.014   130.149
37.2137     80.172   128.064
