Freq[Hz]     dBSPL  Phase[Deg]
5.00000     -3.784  -140.311
5.07273     -3.088  -132.965
5.14651     -2.395  -125.526
5.22137     -1.704  -117.993
5.29732     -1.016  -110.365
5.37437     -0.330  -102.640
5.45254      0.353   -94.817
5.53185      1.035   -86.896
5.61231      1.713   -78.873
5.69394      2.390   -70.749
5.77676      3.064   -62.521
5.86079      3.736   -54.188
5.94604      4.407   -45.749
6.03252      5.075   -37.203
6.12027      5.741   -28.548
6.20929      6.405   -19.783
6.29961      7.067   -10.906
6.39124      7.728    -1.915
6.48420      8.386     7.190
6.57851      9.043    16.411
6.67420      9.699    25.749
6.77128     10.353    35.207
6.86977     11.006    44.785
6.96969     11.657    54.486
7.07107     12.307    64.311
7.17392     12.956    74.261
7.27827     13.604    84.338
7.38413     14.252    94.544
7.49154     14.898   104.882
7.60050     15.544   115.352
7.71105     16.189   125.956
7.82321     16.834   136.698
7.93701     17.479   147.578
8.05245     18.124   158.600
8.16958     18.769   169.765
8.28841     19.414  -178.924
8.40896     20.060  -167.465
8.53128     20.707  -155.854
8.65537     21.354  -144.090
8.78126     22.002  -132.169
8.90899     22.652  -120.087
9.03857     23.303  -107.843
9.17004     23.955   -95.432
9.30342     24.609   -82.851
9.43874     25.265   -70.096
9.57603     25.923   -57.163
9.71532     26.583   -44.049
9.85663     27.245   -30.749
10.0000     27.910   -17.259
10.1455     28.484  -159.015
10.2930     28.825  -161.549
10.4427     29.276  -101.623
10.5946     29.776   -85.758
10.7487     30.355   -52.785
10.9051     31.003   -37.700
11.0637     31.704   -16.455
11.2246     32.441    -2.431
11.3879     33.208    12.192
11.5535     34.000    25.243
11.7216     34.806    35.534
11.8921     35.620    47.677
12.0650     36.435    54.935
12.2405     37.251    66.309
12.4186     38.061    71.334
12.5992     38.868    82.057
12.7825     39.664    85.377
12.9684     40.455    95.571
13.1570     41.236    97.565
13.3484     42.012   106.991
13.5426     42.778   108.895
13.7395     43.530   116.536
13.9394     44.277   118.936
14.1421     45.017   125.072
14.3478     45.750   127.832
14.5565     46.476   132.711
14.7683     47.193   135.742
14.9831     47.902   139.562
15.2010     48.607   142.833
15.4221     49.307   145.764
15.6464     50.000   149.202
15.8740     50.687   151.340
16.1049     51.370   154.917
16.3392     52.049   156.378
16.5768     52.724   160.079
16.8179     53.395   160.945
17.0626     54.064   164.706
17.3107     54.726   165.016
17.5625     55.386   168.764
17.8180     56.045   168.987
18.0771     56.703   172.111
18.3401     57.357   172.568
18.6068     58.010   175.066
18.8775     58.661   175.732
19.1521     59.309   177.651
19.4306     59.956   178.510
19.7133     60.604   179.911
20.0000     61.252  -179.112
20.2909     61.900  -178.224
20.5860     62.548  -177.119
20.8855     63.197  -176.698
21.1893     63.845  -175.536
21.4975     64.492  -175.591
21.8102     65.139  -174.374
22.1274     65.790  -174.837
22.4492     66.440  -173.626
22.7758     67.090  -174.539
23.1071     67.742  -173.409
23.4432     68.389  -174.575
