Freq[Hz]     dBSPL  Phase[Deg]
5.00000     -4.582  -142.754
5.07273     -3.895  -135.327
5.14651     -3.210  -127.813
5.22137     -2.528  -120.209
5.29732     -1.849  -112.514
5.37437     -1.172  -104.727
5.45254     -0.498   -96.846
5.53185      0.174   -88.870
5.61231      0.844   -80.798
5.69394      1.511   -72.627
5.77676      2.176   -64.358
5.86079      2.838   -55.987
5.94604      3.498   -47.514
6.03252      4.157   -38.938
6.12027      4.813   -30.257
6.20929      5.467   -21.469
6.29961      6.119   -12.574
6.39124      6.769    -3.569
6.48420      7.417     5.546
6.57851      8.064    14.773
6.67420      8.709    24.113
6.77128      9.353    33.569
6.86977      9.995    43.141
6.96969     10.636    52.831
7.07107     11.275    62.640
7.17392     11.914    72.571
7.27827     12.551    82.625
7.38413     13.188    92.803
7.49154     13.824   103.108
7.60050     14.460   113.541
7.71105     15.095   124.105
7.82321     15.731   134.800
7.93701     16.366   145.630
8.05245     17.002   156.597
8.16958     17.638   167.703
8.28841     18.274   178.951
8.40896     18.912  -169.657
8.53128     19.550  -158.118
8.65537     20.190  -146.428
8.78126     20.831  -134.586
8.90899     21.475  -122.587
9.03857     22.120  -110.428
9.17004     22.767   -98.105
9.30342     23.416   -85.615
9.43874     24.068   -72.954
9.57603     24.723   -60.116
9.71532     25.380   -47.099
9.85663     26.040   -33.897
10.0000     26.703   -20.506
10.1455     27.313  -162.096
10.2930     27.640  -164.748
10.4427     28.097  -104.847
10.5946     28.603   -89.026
10.7487     29.187   -56.101
10.9051     29.839   -41.074
11.0637     30.545   -19.892
11.2246     31.285    -5.937
11.3879     32.055     8.615
11.5535     32.849    21.593
11.7216     33.657    31.809
11.8921     34.472    43.876
12.0650     35.288    51.057
12.2405     36.105    62.356
12.4186     36.916    67.303
12.5992     37.723    77.951
12.7825     38.519    81.193
12.9684     39.310    91.311
13.1570     40.091    93.226
13.3484     40.866   102.575
13.5426     41.632   104.401
13.7395     42.384   111.964
13.9394     43.131   114.284
14.1421     43.871   120.341
14.3478     44.602   123.022
14.5565     45.328   127.820
14.7683     46.045   130.769
14.9831     46.754   134.507
15.2010     47.458   137.695
15.4221     48.158   140.542
15.6464     48.851   143.896
15.8740     49.538   145.947
16.1049     50.221   149.438
16.3392     50.900   150.812
16.5768     51.574   154.423
16.8179     52.245   155.200
17.0626     52.914   158.870
17.3107     53.576   159.089
17.5625     54.235   162.744
17.8180     54.894   162.873
18.0771     55.552   165.901
18.3401     56.207   166.262
18.6068     56.860   168.662
18.8775     57.510   169.229
19.1521     58.158   171.048
19.4306     58.805   171.806
19.7133     59.454   173.105
20.0000     60.102   173.977
20.2909     60.750   174.760
20.5860     61.398   175.759
20.8855     62.047   176.072
21.1893     62.696   177.124
21.4975     63.343   176.959
21.8102     63.990   178.064
22.1274     64.641   177.487
22.4492     65.291   178.583
22.7758     65.941   177.553
23.1071     66.594   178.566
23.4432     67.242   177.280
23.7841     67.890   177.859
24.1301     68.536   176.560
24.4811     69.180   176.589
24.8372     69.821   175.273
25.1984     70.458   174.744
25.5649     71.090   173.326
25.9368     71.707   172.232
26.3141     72.314   170.740
26.6968     72.909   169.093
27.0851     73.489   167.356
27.4791     74.046   165.172
27.8788     74.575   163.474
28.2843     75.078   160.922
28.6957     75.549   159.116
29.1131     75.995   156.077
29.5365     76.391   154.305
29.9661     76.765   151.282
30.4020     77.140   149.764
30.8442     77.478   146.782
31.2929     77.816   145.309
31.7480     78.140   142.367
32.2098     78.422   140.516
32.6783     78.714   137.800
33.1536     79.002   135.743
33.6359     79.256   133.166
34.1251     79.479   131.128
34.6215     79.693   128.935
35.1250     79.891   126.770
35.6359     80.055   124.704
36.1543     80.220   122.646
36.6802     80.390   121.016
37.2137     80.549   118.921
37.7550     80.703   117.582
38.3041     80.865   115.485
38.8613     81.022   114.146
39.4265     81.174   111.927
40.0000     81.330   111.008
40.5818     81.479   108.802
41.1721     81.625   107.821
41.7710     81.776   105.890
42.3785     81.920   104.834
42.9949     82.061   103.059
43.6203     82.208   101.885
44.2548     82.357   100.255
44.8985     82.506    98.971
45.5515     82.656    97.515
46.2141     82.808    96.160
46.8863     82.961    94.819
47.5683     83.113    93.336
48.2602     83.269    92.135
48.9621     83.430    90.565
49.6743     83.593    89.424
50.3968     83.759    87.668
51.1299     83.926    86.508
51.8736     84.078    84.541
52.6281     84.225    83.529
53.3936     84.382    81.628
54.1702     84.548    80.585
54.9581     84.715    78.666
55.7575     84.881    77.422
56.5685     85.049    75.533
57.3914     85.218    74.062
58.2261     85.381    72.156
59.0730     85.535    70.484
59.9323     85.682    68.608
60.8040     85.831    66.828
61.6884     85.981    64.992
62.5857     86.122    63.014
63.4960     86.256    61.183
64.4196     86.384    59.090
65.3566     86.509    57.317
66.3073     86.631    55.051
67.2717     86.741    53.265
68.2502     86.845    50.876
69.2429     86.938    49.136
70.2501     87.023    46.648
71.2719     87.101    44.880
72.3086     87.169    42.444
73.3603     87.229    40.597
74.4274     87.284    38.279
75.5099     87.333    36.389
76.6083     87.371    34.142
77.7226     87.386    32.131
78.8531     87.385    30.139
80.0000     87.410    28.414
81.1636     87.457    26.555
82.3442     87.494    24.531
83.5419     87.523    22.638
84.7570     87.542    20.590
85.9899     87.551    18.831
87.2406     87.557    16.827
88.5096     87.580    15.269
89.7970     87.615    13.147
91.1031     87.636    11.504
92.4282     87.650     9.342
93.7726     87.665     7.771
95.1366     87.681     5.648
96.5204     87.699     3.970
97.9243     87.712     1.826
99.3486     87.709     0.071
100.794     87.693    -1.910
102.260     87.669    -3.512
103.747     87.678    -4.961
105.256     87.768    -6.434
106.787     87.871    -8.480
108.340     87.917   -10.807
109.916     87.937   -12.997
111.515     87.942   -15.349
113.137     87.926   -17.454
114.783     87.899   -19.686
116.452     87.873   -21.498
118.146     87.858   -23.641
119.865     87.847   -25.409
121.608     87.838   -27.640
123.377     87.827   -29.406
125.171     87.804   -31.630
126.992     87.773   -33.268
128.839     87.800   -35.104
130.713     87.866   -37.141
132.615     87.874   -39.754
134.543     87.835   -42.024
136.500     87.794   -44.259
138.486     87.751   -46.368
140.500     87.705   -48.464
142.544     87.662   -50.449
144.617     87.644   -52.319
146.721     87.645   -54.468
148.855     87.619   -56.630
151.020     87.570   -58.825
153.217     87.547   -60.602
155.445     87.560   -62.828
157.706     87.555   -64.993
160.000     87.521   -67.445
162.327     87.485   -69.451
164.688     87.453   -71.821
167.084     87.413   -73.909
169.514     87.364   -76.167
171.980     87.324   -78.110
174.481     87.298   -80.212
177.019     87.287   -82.167
179.594     87.285   -84.322
182.206     87.280   -86.462
184.856     87.278   -88.596
187.545     87.301   -90.773
190.273     87.321   -93.092
193.041     87.326   -95.468
195.849     87.358   -97.694
198.697     87.409  -100.258
201.587     87.456  -102.938
204.520     87.464  -106.042
207.494     87.432  -108.879
210.512     87.385  -111.858
213.574     87.320  -114.516
216.681     87.248  -117.254
219.833     87.187  -119.707
223.030     87.118  -122.313
226.274     87.067  -124.568
229.565     87.041  -127.076
232.905     87.007  -129.508
236.292     86.979  -131.973
239.729     86.970  -134.399
243.216     86.973  -137.001
246.754     86.959  -139.718
250.343     86.938  -142.348
253.984     86.925  -145.101
257.678     86.890  -147.844
261.426     86.851  -150.501
265.229     86.832  -153.094
269.087     86.799  -155.888
273.001     86.759  -158.401
276.972     86.740  -161.030
281.000     86.732  -163.529
285.088     86.731  -166.302
289.234     86.722  -168.983
293.441     86.708  -171.790
297.709     86.691  -174.495
302.040     86.673  -177.238
306.433     86.669  -179.924
310.890     86.656   177.213
315.412     86.630   174.455
320.000     86.608   171.730
324.655     86.587   169.020
329.377     86.568   166.362
334.168     86.558   163.662
339.028     86.547   161.033
343.959     86.549   158.373
348.962     86.559   155.685
354.038     86.567   152.901
359.188     86.578   150.154
364.412     86.590   147.175
369.713     86.568   144.304
375.090     86.548   141.465
380.546     86.532   138.714
386.081     86.512   135.878
391.697     86.490   133.130
397.394     86.466   130.356
403.175     86.439   127.643
409.039     86.409   124.914
414.989     86.383   122.322
421.025     86.360   119.689
427.149     86.337   117.100
433.362     86.323   114.516
439.665     86.305   111.916
446.060     86.292   109.349
452.548     86.283   106.836
459.131     86.276   104.237
465.809     86.267   101.726
