Freq[Hz]     dBSPL  Phase[Deg]
5.00000     -5.375   -37.172
5.07273     -4.657   -30.645
5.14651     -3.943   -24.029
5.22137     -3.232   -17.323
5.29732     -2.523   -10.527
5.37437     -1.818    -3.639
5.45254     -1.116     3.341
5.53185     -0.416    10.414
5.61231      0.281    17.582
5.69394      0.975    24.845
5.77676      1.667    32.205
5.86079      2.356    39.662
5.94604      3.042    47.218
6.03252      3.726    54.873
6.12027      4.408    62.629
6.20929      5.087    70.486
6.29961      5.763    78.446
6.39124      6.438    86.510
6.48420      7.110    94.678
6.57851      7.780   102.953
6.67420      8.448   111.335
6.77128      9.114   119.825
6.86977      9.778   128.424
6.96969     10.440   137.134
7.07107     11.101   145.956
7.17392     11.759   154.892
7.27827     12.417   163.941
7.38413     13.073   173.107
7.49154     13.727  -177.610
7.60050     14.380  -168.209
7.71105     15.032  -158.687
7.82321     15.684  -149.044
7.93701     16.334  -139.277
8.05245     16.984  -129.385
8.16958     17.633  -119.367
8.28841     18.282  -109.219
8.40896     18.931   -98.940
8.53128     19.580   -88.529
8.65537     20.229   -77.981
8.78126     20.879   -67.297
8.90899     21.529   -56.472
9.03857     22.180   -45.503
9.17004     22.833   -34.390
9.30342     23.486   -23.127
9.43874     24.141   -11.712
9.57603     24.797    -0.142
9.71532     25.455    11.587
9.85663     26.115    23.479
10.0000     26.777    35.537
10.1455     27.318  -119.789
10.2930     27.673  -122.151
10.4427     28.112   -67.083
10.5946     28.614   -51.465
10.7487     29.185   -21.300
10.9051     29.832    -6.745
11.0637     30.529    12.729
11.2246     31.265    25.998
11.3879     32.030    39.502
11.5535     32.820    51.615
11.7216     33.626    61.248
11.8921     34.438    72.301
12.0650     35.254    79.251
12.2405     36.068    89.406
12.4186     36.879    94.396
12.5992     37.684   103.792
12.7825     38.481   107.306
12.9684     39.270   116.078
13.1570     40.053   118.449
13.3484     40.826   126.445
13.5426     41.594   128.652
13.7395     42.345   135.130
13.9394     43.092   137.626
14.1421     43.831   142.856
14.3478     44.564   145.535
14.5565     45.290   149.724
14.7683     46.007   152.516
14.9831     46.716   155.842
15.2010     47.420   158.737
15.4221     48.120   161.343
15.6464     48.814   164.284
15.8740     49.501   166.242
16.1049     50.184   169.209
16.3392     50.862   170.629
16.5768     51.536   173.622
16.8179     52.207   174.572
17.0626     52.876   177.533
17.3107     53.538   178.034
17.5625     54.197  -179.067
17.8180     54.856  -178.668
18.0771     55.513  -176.272
18.3401     56.167  -175.759
18.6068     56.821  -173.854
18.8775     57.471  -173.250
19.1521     58.118  -171.802
19.4306     58.765  -171.105
19.7133     59.413  -170.062
20.0000     60.061  -169.341
20.2909     60.707  -168.705
20.5860     61.355  -167.941
