Freq[Hz]     dBSPL  Phase[Deg]
5.00000     -5.840    32.096
5.07273     -5.139    38.229
5.14651     -4.440    44.437
5.22137     -3.745    50.722
5.29732     -3.052    57.085
5.37437     -2.362    63.526
5.45254     -1.674    70.047
5.53185     -0.989    76.649
5.61231     -0.307    83.332
5.69394      0.373    90.098
5.77676      1.051    96.947
5.86079      1.726   103.882
5.94604      2.399   110.902
6.03252      3.069   118.010
6.12027      3.738   125.205
6.20929      4.404   132.489
6.29961      5.068   139.864
6.39124      5.730   147.329
6.48420      6.390   154.887
6.57851      7.049   162.538
6.67420      7.705   170.283
6.77128      8.360   178.124
6.86977      9.013  -173.939
6.96969      9.665  -165.903
7.07107     10.315  -157.769
7.17392     10.964  -149.534
7.27827     11.612  -141.198
7.38413     12.259  -132.759
7.49154     12.905  -124.216
7.60050     13.550  -115.567
7.71105     14.194  -106.811
7.82321     14.838   -97.945
7.93701     15.482   -88.970
8.05245     16.126   -79.882
8.16958     16.769   -70.680
8.28841     17.413   -61.362
8.40896     18.057   -51.926
8.53128     18.702   -42.369
8.65537     19.347   -32.690
8.78126     19.994   -22.886
8.90899     20.642   -12.953
9.03857     21.291    -2.891
9.17004     21.941     7.306
9.30342     22.593    17.639
9.43874     23.248    28.112
9.57603     23.904    38.729
9.71532     24.562    49.492
9.85663     25.223    60.406
10.0000     25.886    71.474
10.1455     26.452   -90.065
10.2930     26.794   -94.030
10.4427     27.242   -40.714
10.5946     27.744   -26.331
10.7487     28.322     2.840
10.9051     28.970    16.395
11.0637     29.672    35.121
11.2246     30.409    47.582
11.3879     31.177    60.434
11.5535     31.969    71.898
11.7216     32.775    80.918
11.8921     33.589    91.465
12.0650     34.405    97.811
12.2405     35.221   107.578
12.4186     36.032   111.958
12.5992     36.838   121.070
12.7825     37.634   123.963
12.9684     38.426   132.543
13.1570     39.207   134.274
13.3484     39.982   142.139
13.5426     40.748   143.755
13.7395     41.499   150.076
13.9394     42.246   152.070
14.1421     42.986   157.110
14.3478     43.718   159.361
