Freq[Hz]     dBSPL  Phase[Deg]
5.00000     -5.700  -129.799
5.07273     -5.012  -117.899
5.14651     -4.322  -105.845
5.22137     -3.632   -93.634
5.29732     -2.941   -81.263
5.37437     -2.248   -68.730
5.45254     -1.555   -56.032
5.53185     -0.861   -43.165
5.61231     -0.166   -30.127
5.69394      0.529   -16.916
5.77676      1.225    -3.527
5.86079      1.921    10.041
5.94604      2.618    23.792
6.03252      3.316    37.728
6.12027      4.014    51.854
6.20929      4.712    66.172
6.29961      5.411    80.685
6.39124      6.109    95.397
6.48420      6.808   110.310
6.57851      7.508   125.428
6.67420      8.207   140.755
6.77128      8.907   156.294
6.86977      9.607   172.047
6.96969     10.307  -171.980
7.07107     11.006  -155.786
7.17392     11.706  -139.365
7.27827     12.406  -122.716
7.38413     13.106  -105.833
7.49154     13.806   -88.713
7.60050     14.506   -71.354
7.71105     15.205   -53.749
7.82321     15.905   -35.897
7.93701     16.604   -17.793
8.05245     17.304     0.567
8.16958     18.003    19.188
8.28841     18.702    38.072
8.40896     19.400    57.224
8.53128     20.099    76.649
8.65537     20.797    96.350
8.78126     21.495   116.332
8.90899     22.192   136.599
9.03857     22.889   157.156
9.17004     23.586   178.006
9.30342     24.283  -160.844
9.43874     24.979  -139.392
9.57603     25.675  -117.632
9.71532     26.370   -95.559
9.85663     27.065   -73.169
10.0000     27.760   -50.457
10.1455     28.238   154.237
10.2930     28.676   172.387
10.4427     29.116  -126.369
10.5946     29.624  -109.081
10.7487     30.196   -75.356
10.9051     30.848   -59.193
11.0637     31.546   -37.338
11.2246     32.284   -22.505
11.3879     33.050    -7.302
11.5535     33.841     6.336
11.7216     34.647    17.219
11.8921     35.459    29.780
12.0650     36.276    37.657
12.2405     37.089    49.294
12.4186     37.902    54.968
12.5992     38.706    65.829
12.7825     39.504    69.834
12.9684     40.293    80.056
13.1570     41.077    82.758
13.3484     41.849    92.149
13.5426     42.618    94.702
13.7395     43.368   102.361
13.9394     44.116   105.291
14.1421     44.855   111.514
14.3478     45.589   114.699
14.5565     46.314   119.720
14.7683     47.031   123.080
14.9831     47.740   127.101
15.2010     48.445   130.613
15.4221     49.145   133.795
15.6464     49.839   137.399
15.8740     50.526   139.834
16.1049     51.209   143.505
16.3392     51.889   145.307
16.5768     52.562   149.035
16.8179     53.234   150.288
17.0626     53.903   154.011
17.3107     54.565   154.741
17.5625     55.225   158.418
17.8180     55.885   159.036
18.0771     56.542   162.129
18.3401     57.197   162.918
18.6068     57.850   165.436
18.8775     58.502   166.366
19.1521     59.149   168.348
19.4306     59.797   169.414
19.7133     60.445   170.925
20.0000     61.094   172.054
20.2909     61.741   173.092
20.5860     62.390   174.299
20.8855     63.039   174.906
21.1893     63.687   176.124
21.4975     64.335   176.291
21.8102     64.982   177.517
22.1274     65.633   177.312
22.4492     66.284   178.493
22.7758     66.935   177.856
23.1071     67.586   178.925
23.4432     68.234   178.040
23.7841     68.883   178.709
24.1301     69.530   177.769
24.4811     70.174   177.920
24.8372     70.815   176.920
25.1984     71.452   176.552
25.5649     72.083   175.415
25.9368     72.701   174.523
26.3141     73.308   173.274
26.6968     73.904   171.860
27.0851     74.483   170.334
27.4791     75.041   168.418
27.8788     75.570   166.901
28.2843     76.074   164.647
28.6957     76.545   162.991
29.1131     76.991   160.283
29.5365     77.388   158.635
29.9661     77.763   155.967
30.4020     78.137   154.547
30.8442     78.476   151.938
31.2929     78.815   150.581
31.7480     79.139   147.981
32.2098     79.423   146.283
32.6783     79.715   143.876
33.1536     80.004   142.004
33.6359     80.258   139.708
34.1251     80.481   137.886
34.6215     80.696   135.952
35.1250     80.895   134.032
35.6359     81.061   132.201
36.1543     81.226   130.416
36.6802     81.397   128.998
37.2137     81.557   127.204
37.7550     81.712   126.058
38.3041     81.875   124.289
38.8613     82.033   123.126
39.4265     82.187   121.260
40.0000     82.344   120.492
40.5818     82.494   118.657
41.1721     82.641   117.843
41.7710     82.793   116.260
42.3785     82.939   115.406
42.9949     83.082   113.961
43.6203     83.231   113.013
44.2548     83.382   111.689
44.8985     83.532   110.658
45.5515     83.684   109.494
46.2141     83.838   108.419
46.8863     83.992   107.357
47.5683     84.146   106.177
48.2602     84.305   105.237
48.9621     84.468   103.995
49.6743     84.632   103.107
50.3968     84.802   101.700
51.1299     84.970   100.771
51.8736     85.124    99.183
52.6281     85.273    98.401
53.3936     85.434    96.894
54.1702     85.601    96.080
54.9581     85.770    94.549
55.7575     85.939    93.570
56.5685     86.109    92.051
57.3914     86.280    90.871
58.2261     86.446    89.326
59.0730     86.604    87.965
59.9323     86.753    86.439
60.8040     86.905    84.995
61.6884     87.058    83.501
62.5857     87.201    81.885
63.4960     87.338    80.385
64.4196     87.470    78.674
65.3566     87.599    77.226
66.3073     87.723    75.363
67.2717     87.837    73.892
68.2502     87.944    71.931
69.2429     88.042    70.500
70.2501     88.129    68.457
71.2719     88.210    67.015
72.3086     88.282    65.017
73.3603     88.346    63.515
74.4274     88.405    61.633
75.5099     88.458    60.109
76.6083     88.500    58.292
77.7226     88.518    56.675
78.8531     88.522    55.108
80.0000     88.552    53.794
81.1636     88.602    52.355
82.3442     88.644    50.767
83.5419     88.677    49.294
84.7570     88.700    47.705
85.9899     88.714    46.363
87.2406     88.725    44.842
88.5096     88.753    43.697
89.7970     88.792    42.071
91.1031     88.818    40.848
92.4282     88.837    39.203
93.7726     88.857    38.053
