Freq[Hz]     dBSPL  Phase[Deg]
5.00000     -6.716  -132.459
5.07273     -6.026  -120.487
5.14651     -5.335  -108.365
5.22137     -4.642   -96.089
5.29732     -3.948   -83.657
5.37437     -3.253   -71.065
5.45254     -2.557   -58.311
5.53185     -1.860   -45.393
5.61231     -1.162   -32.306
5.69394     -0.463   -19.049
5.77676      0.236    -5.618
5.86079      0.936     7.989
5.94604      1.637    21.777
6.03252      2.339    35.747
6.12027      3.041    49.903
6.20929      3.743    64.249
6.29961      4.446    78.787
6.39124      5.149    93.522
6.48420      5.853   108.455
6.57851      6.556   123.591
6.67420      7.260   138.933
6.77128      7.964   154.484
6.86977      8.669   170.248
6.96969      9.373  -173.772
7.07107     10.077  -157.571
7.17392     10.782  -141.147
7.27827     11.486  -124.496
7.38413     12.190  -107.614
7.49154     12.894   -90.497
7.60050     13.598   -73.141
7.71105     14.302   -55.543
7.82321     15.006   -37.699
7.93701     15.710   -19.605
8.05245     16.413    -1.256
8.16958     17.116    17.350
8.28841     17.819    36.220
8.40896     18.522    55.355
8.53128     19.224    74.761
8.65537     19.926    94.443
8.78126     20.627   114.403
8.90899     21.329   134.647
9.03857     22.029   155.180
9.17004     22.730   176.005
9.30342     23.430  -162.873
9.43874     24.129  -141.449
9.57603     24.829  -119.719
9.71532     25.527   -97.678
9.85663     26.225   -75.320
10.0000     26.923   -52.642
10.1455     27.416   152.074
10.2930     27.856   170.196
10.4427     28.301  -128.590
10.5946     28.812  -111.338
10.7487     29.387   -77.655
10.9051     30.042   -61.538
11.0637     30.742   -39.732
11.2246     31.482   -24.951
11.3879     32.249    -9.801
11.5535     33.041     3.784
11.7216     33.848    14.613
11.8921     34.660    27.118
12.0650     35.477    34.941
12.2405     36.290    46.523
12.4186     37.103    52.143
12.5992     37.906    62.949
12.7825     38.705    66.900
12.9684     39.493    77.067
13.1570     40.277    79.714
13.3484     41.048    89.050
13.5426     41.817    91.548
13.7395     42.566    99.151
13.9394     43.314   102.026
14.1421     44.052   108.192
14.3478     44.786   111.321
14.5565     45.511   116.285
14.7683     46.228   119.587
14.9831     46.936   123.550
15.2010     47.641   127.004
15.4221     48.341   130.126
15.6464     49.034   133.670
15.8740     49.721   136.045
16.1049     50.403   139.654
16.3392     51.083   141.395
16.5768     51.756   145.059
16.8179     52.428   146.250
17.0626     53.097   149.908
17.3107     53.759   150.573
17.5625     54.418   154.185
17.8180     55.078   154.736
18.0771     55.735   157.761
18.3401     56.390   158.483
18.6068     57.044   160.931
18.8775     57.695   161.791
19.1521     58.342   163.703
19.4306     58.990   164.697
19.7133     59.638   166.135
20.0000     60.287   167.191
20.2909     60.934   168.155
20.5860     61.583   169.287
20.8855     62.232   169.817
21.1893     62.881   170.957
21.4975     63.528   171.046
21.8102     64.175   172.193
22.1274     64.827   171.908
22.4492     65.478   173.007
22.7758     66.129   172.289
23.1071     66.781   173.274
23.4432     67.429   172.305
23.7841     68.077   172.888
24.1301     68.725   171.861
24.4811     69.369   171.925
24.8372     70.010   170.836
25.1984     70.647   170.377
25.5649     71.279   169.149
25.9368     71.897   168.165
26.3141     72.504   166.821
26.6968     73.100   165.312
27.0851     73.680   163.690
27.4791     74.238   161.677
27.8788     74.768   160.061
28.2843     75.271   157.706
28.6957     75.743   155.949
29.1131     76.189   153.139
29.5365     76.587   151.386
29.9661     76.961   148.613
30.4020     77.336   147.085
30.8442     77.675   144.368
31.2929     78.014   142.901
31.7480     78.338   140.189
32.2098     78.622   138.378
32.6783     78.914   135.856
33.1536     79.203   133.868
33.6359     79.458   131.454
34.1251     79.681   129.513
34.6215     79.896   127.458
35.1250     80.095   125.415
35.6359     80.261   123.459
36.1543     80.426   121.548
36.6802     80.598   120.002
37.2137     80.758   118.078
37.7550     80.913   116.800
38.3041     81.075   114.897
38.8613     81.233   113.599
39.4265     81.387   111.595
40.0000     81.544   110.688
